relative_time_s,kv_used,kv_evictable,kv_available,gen_throughput,global_hit_rate
0.04,0.0,16.0,133036.0,0.0,0.0
1.05,0.0,1561.0,131491.0,0.0,0.0
2.05,0.0,1561.0,131491.0,0.0,0.0
3.06,0.0,1561.0,131491.0,0.0,0.0
4.06,2195.0,1558.0,129299.0,16.533029185163887,0.1036036036036036
5.09,3609.0,1558.0,127885.0,969.4441536753988,0.0
6.09,1571.0,5407.0,126074.0,964.1014253248808,0.0
7.1,2506.0,6259.0,124287.0,312.91790165512464,0.09575923392612859
8.1,2422.0,7128.0,123502.0,469.69691264637686,0.2116564417177914
9.11,485.0,9573.0,122994.0,306.22225365564,0.0
10.11,917.0,10059.0,122076.0,473.9360751227212,0.2653061224489796
11.14,1316.0,10059.0,121677.0,473.0079398749053,0.0
12.14,3202.0,11058.0,118792.0,835.0374385428222,0.0
13.15,4065.0,11472.0,117515.0,534.2884265724225,0.0
14.17,1886.0,15006.0,116160.0,314.4426710403206,0.0
15.18,5432.0,14946.0,112674.0,463.3492822165297,0.06236741620704285
16.18,3809.0,17088.0,112155.0,536.8243209292923,0.0
17.19,4075.0,18367.0,110610.0,524.0456634785492,0.0
18.19,2911.0,21108.0,109033.0,469.426910052282,0.0
19.2,3619.0,21476.0,107957.0,472.9727453701596,0.0
20.21,4652.0,23654.0,104746.0,692.6613147293556,0.0
21.21,8051.0,24541.0,100460.0,677.6941970002961,0.0
22.22,9278.0,25737.0,98037.0,691.0867260109011,0.0
23.22,8477.0,28764.0,95811.0,800.3767864063229,0.0
24.23,11921.0,30839.0,90292.0,304.54084983080145,0.0
25.23,11060.0,32299.0,89693.0,994.418852602501,0.0
26.24,14940.0,34276.0,83836.0,401.2754847152077,0.0
27.24,17167.0,35044.0,80841.0,1092.2511610138474,0.06584557081951682
28.25,18063.0,35044.0,79945.0,1072.7713111503642,0.0
29.25,17131.0,39330.0,76591.0,841.6831423262474,0.0
30.26,17033.0,41713.0,74306.0,845.1370789934045,0.07098765432098765
31.26,14068.0,47319.0,71665.0,805.802832651274,0.0
32.27,10692.0,53027.0,69333.0,1253.775522963354,0.0
33.27,12518.0,55689.0,64845.0,467.50851140645807,0.0
34.28,11791.0,58632.0,62629.0,821.5190616076434,0.0
35.28,12871.0,58632.0,61549.0,1229.4707961222832,0.0
36.29,15516.0,59790.0,57746.0,515.5334319971126,0.0
37.29,16596.0,59790.0,56666.0,1191.6001917851718,0.0
38.3,12537.0,66220.0,54295.0,1114.9751902629114,0.08242424242424243
39.3,8357.0,71940.0,52755.0,750.7395284338321,0.0
40.31,6833.0,74275.0,51944.0,799.7091398590427,0.0
41.31,4124.0,77833.0,51095.0,458.84298840416665,0.0
42.32,2731.0,80059.0,50262.0,366.9767715533299,0.0
43.32,2439.0,81440.0,49173.0,485.3425138794307,0.2226148409893993
44.33,2802.0,82264.0,47986.0,464.0117279256302,0.0
45.33,1479.0,84504.0,47069.0,285.91971222018583,0.1243432574430823
46.34,1342.0,85403.0,46307.0,316.03007694483597,0.0
47.34,1166.0,86261.0,45625.0,451.2247825754429,0.0
48.35,0.0,87659.0,45393.0,0.0,0.0
49.35,1355.0,87521.0,44176.0,84.46735763301119,0.24115755627009647
50.36,2397.0,87465.0,43190.0,774.3134071087404,0.0
51.43,1266.0,89271.0,42515.0,358.8355228933498,0.0
52.44,1787.0,90457.0,40808.0,314.6155474501824,0.0
53.44,3236.0,90451.0,39365.0,399.6388466763067,0.0
54.45,3558.0,92520.0,36974.0,613.2669362525621,0.0
55.45,4801.0,93262.0,34989.0,419.97883319817146,0.0
56.46,1986.0,96684.0,34382.0,626.9738762796516,0.0
57.46,2721.0,97681.0,32650.0,395.5820387516476,0.0
58.47,5990.0,98858.0,28204.0,357.0603927039679,0.0
59.47,6710.0,98858.0,27484.0,890.4291994845138,0.0
60.48,9289.0,100541.0,23222.0,341.7939647186787,0.09031413612565445
61.48,8081.0,103166.0,21805.0,407.6466490650017,0.0
62.49,8952.0,103109.0,20991.0,727.3987947433637,0.0
63.49,11717.0,104096.0,17239.0,713.913484893653,0.10662824207492795
64.5,12219.0,105638.0,15195.0,850.277720896104,0.08119218910585817
65.5,11028.0,109149.0,12875.0,1137.7188267538572,0.0
66.51,13487.0,110073.0,9492.0,500.05710793660745,0.0
67.51,7562.0,119725.0,5765.0,555.8057552379773,0.0
68.52,7732.0,120160.0,5160.0,733.9415577997981,0.0
69.52,8532.0,120160.0,4360.0,730.5597039967901,0.0
70.53,11023.0,121348.0,681.0,855.6884129821217,0.0
71.53,12675.0,120368.0,9.0,702.580525642209,0.0
72.54,12033.0,120737.0,282.0,836.165358972058,0.06645131518227965
73.54,14156.0,118683.0,213.0,1217.74197284997,0.0
74.55,13974.0,118910.0,168.0,902.8345059515848,0.0
75.55,15851.0,116885.0,316.0,1104.13111623815,0.0547112462006079
76.56,12911.0,119596.0,545.0,1100.1624056267458,0.24705882352941178
77.57,11751.0,120870.0,431.0,728.6909489469675,0.0
78.57,12351.0,120570.0,131.0,706.2186068867516,0.0
79.58,11110.0,121678.0,264.0,505.938596653595,0.0
80.58,13677.0,118936.0,439.0,781.7091227933416,0.0
81.59,12361.0,120437.0,254.0,776.1922724497006,0.0
82.6,14643.0,117125.0,1284.0,609.6624978319338,0.0
83.6,13735.0,118933.0,384.0,972.2257971795672,0.0
84.61,8473.0,122475.0,2104.0,592.4894957759722,0.3875
85.61,8749.0,123180.0,1123.0,873.2254780300102,0.0
86.62,8289.0,123206.0,1557.0,1145.0211182692535,0.09352517985611511
87.62,7092.0,125573.0,387.0,955.6616921594028,0.0
88.63,7035.0,125417.0,600.0,739.5959885882764,0.0
89.63,5891.0,125836.0,1325.0,698.1406240580055,0.21630094043887146
90.64,5490.0,126907.0,655.0,600.2660852004768,0.0
91.64,4831.0,126615.0,1606.0,589.3865120079683,0.0
92.65,3227.0,129457.0,368.0,766.4739422871539,0.0
93.66,3648.0,129339.0,65.0,616.574609122929,0.09281045751633987
94.66,1875.0,130628.0,549.0,435.3345072529099,0.0
95.67,2235.0,130628.0,189.0,468.93420688226183,0.0
96.67,1589.0,131337.0,126.0,290.3730941431933,0.08665105386416862
97.68,1893.0,130313.0,846.0,314.55943660571563,0.0
98.68,3512.0,129302.0,238.0,219.23563204629522,0.07067812798471824
99.69,6359.0,126275.0,418.0,893.1449096286016,0.0
100.69,7396.0,125605.0,51.0,1028.8070568834826,0.0
101.7,8322.0,122972.0,1758.0,525.05943741663,0.0
102.7,11761.0,119939.0,1352.0,610.2413768624201,0.0
103.71,9668.0,122423.0,961.0,704.5283000886903,0.0
104.71,13689.0,118626.0,737.0,470.9873961432321,0.0
105.72,13762.0,119064.0,226.0,1111.5138187434184,0.9943820224719101
106.72,9385.0,123359.0,308.0,1184.4195950207031,0.0
107.73,7304.0,125241.0,507.0,366.9814768052846,0.07958921694480103
108.73,8073.0,124728.0,251.0,1100.4315805244914,0.0
109.74,10165.0,122588.0,299.0,711.7243243935907,0.0
110.75,11245.0,121592.0,215.0,1042.2971604679892,0.0
111.75,12169.0,120532.0,351.0,986.3222223782899,0.0
112.77,10620.0,120381.0,2051.0,915.1719628766294,0.12916666666666668
113.78,12248.0,119688.0,1116.0,965.505681943985,0.3924050632911392
114.78,12806.0,119868.0,378.0,839.7328998583803,0.0
115.79,11227.0,121186.0,639.0,654.425306975104,0.0
116.79,10057.0,122432.0,563.0,720.0079284409809,0.0
117.8,9387.0,121828.0,1837.0,1010.0743298536486,0.0
118.8,10507.0,121828.0,717.0,1000.0879827381796,0.0
119.81,8868.0,123434.0,750.0,418.41443171195164,0.35195530726256985
120.81,9624.0,121079.0,2349.0,724.1253965489101,0.3688888888888889
121.82,7432.0,125395.0,225.0,676.7959742841725,0.18617021276595744
122.82,9281.0,123674.0,97.0,1408.2546245975013,0.0
123.83,8386.0,124609.0,57.0,1129.5476196870666,0.0
124.84,7328.0,123832.0,1892.0,353.7484152203344,0.32547169811320753
125.84,5793.0,126378.0,881.0,686.5722974285136,0.0
126.85,5580.0,127090.0,382.0,565.6916785751614,0.0
127.85,7724.0,124829.0,499.0,526.8120160596337,0.0
128.86,7480.0,125397.0,175.0,794.7316035194439,0.0
129.89,3582.0,129464.0,6.0,307.34993759458087,0.0
130.9,6377.0,124652.0,2023.0,535.7462190084558,0.0
131.9,6538.0,125133.0,1381.0,595.3048743598139,0.0
132.91,5806.0,126839.0,407.0,380.9945774235678,0.10631741140215717
133.91,8415.0,121537.0,3100.0,477.52701501733833,0.0
134.92,9375.0,121537.0,2140.0,867.8070842549055,0.0
135.92,10248.0,121566.0,1238.0,297.0696231146912,0.0
136.93,7531.0,123191.0,2330.0,1024.9936651720875,0.0
137.93,9477.0,123191.0,384.0,1152.6641535594695,0.0
138.94,10866.0,121368.0,818.0,492.65412909044977,0.0
139.94,10556.0,122296.0,200.0,577.2826098018595,0.0
140.95,11623.0,121226.0,203.0,878.5436944642271,0.0
141.95,10693.0,122098.0,261.0,1119.1458516576238,0.36904761904761907
142.96,7993.0,124954.0,105.0,1107.2896353634496,0.1246376811594203
143.97,8338.0,124288.0,426.0,875.9732952961621,0.0
144.97,8629.0,123693.0,730.0,739.0808630209178,0.0
145.98,10509.0,121733.0,810.0,798.5914073968034,0.0
146.98,7779.0,124780.0,493.0,733.0462233186622,0.0
147.99,7104.0,125448.0,500.0,769.1714974462313,0.0
149.0,7176.0,125446.0,430.0,738.876740807889,0.0
150.01,8719.0,123774.0,559.0,614.8365456357194,0.0
151.01,5318.0,127598.0,136.0,661.8843936180741,0.0
152.02,4584.0,127592.0,876.0,570.3854935406202,0.0
153.15,8331.0,122936.0,1785.0,395.38387434663235,0.22186495176848875
154.16,12053.0,120927.0,72.0,847.5809314248329,0.0
155.17,13421.0,119630.0,1.0,1459.7579433425321,0.0
156.17,12461.0,118947.0,1644.0,1240.885656402978,0.0
157.18,11771.0,118646.0,2635.0,708.0416116348517,0.0
158.18,14013.0,116023.0,3016.0,306.19361721971353,0.0
159.19,11115.0,120671.0,1266.0,591.2797819541806,0.0
160.19,10312.0,122460.0,280.0,986.3675723107922,0.3672316384180791
161.2,12074.0,120169.0,809.0,626.3718214412667,0.0
162.2,8071.0,124923.0,58.0,730.9945180794174,0.0
163.21,4806.0,127769.0,477.0,680.166511323115,0.0
164.21,6738.0,126204.0,110.0,593.717608297142,0.0
165.22,8826.0,123890.0,336.0,871.1320841654217,0.0
166.22,11183.0,121241.0,628.0,1135.6826058996387,0.0
167.23,8339.0,122637.0,2076.0,552.5812619537345,0.0
168.24,9114.0,122272.0,1666.0,396.7467516892188,0.0
169.24,7660.0,124473.0,919.0,677.0343948844503,0.0
170.25,7388.0,125422.0,242.0,736.870199023209,0.0
171.25,8262.0,123107.0,1683.0,1003.0007992827864,0.4012738853503185
172.26,8945.0,123292.0,815.0,801.4637732393253,0.0
173.26,8053.0,121784.0,3215.0,860.8645436656946,0.4883720930232558
174.27,7231.0,124379.0,1442.0,1033.8046515224805,0.20348837209302326
175.27,5334.0,126989.0,729.0,734.8222620297765,0.0
176.28,5444.0,127577.0,31.0,451.87719672272704,0.5419354838709678
177.28,1100.0,131251.0,701.0,316.77051321506957,0.0
178.29,4491.0,128161.0,400.0,611.7426338469375,0.09446693657219973
179.29,5879.0,126945.0,228.0,576.2949011320849,0.3547008547008547
180.3,3875.0,129150.0,27.0,818.0923145420097,0.0
181.3,4514.0,128051.0,487.0,532.3107066116675,0.0935483870967742
182.56,7793.0,124630.0,629.0,876.5832284710847,0.0
183.56,9360.0,123185.0,507.0,1064.2163114851257,0.0
184.57,11262.0,121617.0,173.0,542.2894898373742,0.0
185.57,10854.0,122156.0,42.0,322.09690752449904,0.0
186.58,10585.0,120397.0,2070.0,869.1027571089568,0.05451388888888889
187.58,13438.0,118529.0,1085.0,1222.7458068809487,0.0
188.59,14359.0,118030.0,663.0,510.79727283042405,0.0
189.59,12650.0,120073.0,329.0,895.7044063603385,0.0
190.6,16687.0,115467.0,898.0,1187.6473237269413,0.0
191.61,15404.0,117067.0,581.0,1179.676621608487,0.09064327485380116
192.61,14357.0,118444.0,251.0,1211.032375768151,0.0
193.62,13617.0,119293.0,142.0,1111.055388602159,0.0
194.62,11669.0,121091.0,292.0,848.6157208771865,0.0
195.63,9128.0,121715.0,2209.0,995.0886652606747,0.1267605633802817
196.63,10178.0,121715.0,1159.0,999.5928872378117,0.0
197.64,8411.0,123729.0,912.0,663.8003150468617,0.0
198.64,6694.0,125470.0,888.0,824.3765920648631,0.0
199.65,7294.0,125470.0,288.0,737.5351697752782,0.0
200.65,4327.0,128355.0,370.0,457.5097206822777,0.0
201.66,3137.0,129886.0,29.0,455.27924396917274,0.0
