relative_time_s,kv_used,kv_evictable,kv_available,gen_throughput,global_hit_rate
0.04,0.0,16.0,133036.0,0.0,0.0
1.04,1400.0,451.0,131201.0,1241.990756048937,0.0
2.05,0.0,1977.0,131075.0,0.0,0.0
3.06,0.0,1977.0,131075.0,0.0,0.0
4.06,750.0,1953.0,130349.0,188.8941983520346,0.0
5.07,2548.0,1931.0,128573.0,616.9581779123715,0.0
6.07,3053.0,2574.0,127425.0,990.6030704226175,0.0
7.08,640.0,5724.0,126688.0,360.4077739079913,0.0
8.08,1488.0,6137.0,125427.0,205.57037493158384,0.07303370786516854
9.09,2370.0,6529.0,124153.0,280.1504606827461,0.0
10.09,3307.0,7224.0,122521.0,755.7934430267126,0.0
11.1,6025.0,8171.0,118856.0,447.68437254665247,0.2756756756756757
12.1,7145.0,9328.0,116579.0,1326.623272823246,0.0
13.11,7210.0,11351.0,114491.0,865.8853202895082,0.0
14.11,1439.0,18021.0,113592.0,473.31703200700014,0.0
15.12,3025.0,19222.0,110805.0,134.58842886891478,0.0
16.12,3137.0,19633.0,110282.0,307.69799418834924,0.0
17.13,5535.0,19624.0,107893.0,308.512297781575,0.043286867204695524
18.13,8028.0,19593.0,105431.0,589.2051576396168,0.0
19.14,11184.0,20199.0,101669.0,887.8127773880249,0.0
20.14,14227.0,21333.0,97492.0,1128.2074105594277,0.07162534435261708
21.15,10668.0,25589.0,96795.0,1132.28082569754,0.0
22.15,11220.0,29406.0,92426.0,934.3383794200129,0.0
23.16,15132.0,29396.0,88524.0,481.23244247747937,0.0
24.16,19794.0,31040.0,82218.0,368.07434362608666,0.0
25.17,20674.0,31040.0,81338.0,1403.9982142204535,0.0
26.18,21005.0,36314.0,75733.0,955.125200411405,0.0
27.18,22361.0,39308.0,71383.0,1393.6746921184697,0.02703419029949642
28.19,23930.0,40537.0,68585.0,1243.9066726330238,0.0
29.19,28290.0,42819.0,61943.0,1202.4761075399706,0.0
30.2,27917.0,45010.0,60125.0,967.4539401900779,0.0
31.2,29117.0,45010.0,58925.0,1196.468217259018,0.0
32.21,29917.0,45010.0,58125.0,1187.5841015505105,0.0
33.21,22020.0,56497.0,54535.0,1004.6460296265903,0.0
34.22,18798.0,62368.0,51886.0,1299.2597905806808,0.0
35.22,15772.0,67965.0,49315.0,1204.973540064868,0.03983402489626556
36.23,13210.0,72816.0,47026.0,1193.1814018107016,0.04197530864197531
37.23,10581.0,77610.0,44861.0,849.5190353315185,0.0
38.24,11365.0,77885.0,43802.0,1185.9235065368152,0.0
39.24,10192.0,80735.0,42125.0,1144.628033674683,0.0
40.25,10865.0,80972.0,41215.0,997.8248985234504,0.0
41.25,7912.0,85179.0,39961.0,867.5673136024752,0.272108843537415
42.26,6024.0,87677.0,39351.0,598.5282997094126,0.0
43.26,4957.0,89994.0,38101.0,604.9502816896152,0.0
44.27,1603.0,94415.0,37034.0,467.35250934360215,0.30303030303030304
45.27,1113.0,95633.0,36306.0,200.74797470424048,0.0
46.28,2340.0,96421.0,34291.0,541.8120753518713,0.0
47.28,3041.0,96984.0,33027.0,764.2684739671379,0.0
48.29,795.0,99566.0,32691.0,292.7173725427185,0.0
49.29,1651.0,100323.0,31078.0,472.0627352822048,0.0
50.3,3028.0,100268.0,29756.0,535.8635678273258,0.0
51.3,2452.0,102447.0,28153.0,566.8108922621207,0.0
52.31,4025.0,103236.0,25791.0,1064.2222596280703,0.0
53.31,3446.0,105091.0,24515.0,766.0480429070263,0.0
54.32,599.0,108181.0,24272.0,161.39615550557568,0.0
