relative_time_s,kv_used,kv_evictable,kv_available,gen_throughput,global_hit_rate
0.04,0.0,16.0,133036.0,0.0,0.0
1.04,0.0,1803.0,131249.0,0.0,0.0
2.05,0.0,1803.0,131249.0,0.0,0.0
3.06,0.0,1803.0,131249.0,0.0,0.0
4.06,0.0,1803.0,131249.0,0.0,0.0
5.07,0.0,1803.0,131249.0,0.0,0.0
6.07,0.0,1803.0,131249.0,0.0,0.0
7.08,0.0,1803.0,131249.0,0.0,0.0
8.09,1444.0,1772.0,129836.0,628.967898034042,0.0
9.09,2752.0,1744.0,128556.0,924.6451283251234,0.0
10.1,1512.0,3880.0,127660.0,472.5172675816701,0.0
11.1,1768.0,4987.0,126297.0,529.5846695194875,0.0
12.11,1908.0,5925.0,125219.0,561.2891042663441,0.0
13.11,1449.0,7247.0,124356.0,175.8492941688824,0.0
14.12,2311.0,7954.0,122787.0,623.5827595850926,0.0
15.13,4365.0,7798.0,120889.0,714.8741862316441,0.0
16.13,4552.0,10491.0,118009.0,373.5616837261193,0.0
17.14,5025.0,11225.0,116802.0,501.40120479522403,0.0
18.15,1898.0,15605.0,115549.0,504.6956572625428,0.0
19.24,3546.0,15605.0,113901.0,284.9056228406968,0.0
20.25,4626.0,16026.0,112400.0,607.3559605903388,0.0
21.25,7770.0,16356.0,108926.0,1025.8155908942092,0.0
22.26,6743.0,18337.0,107972.0,742.5233467863089,0.0
23.27,6570.0,21197.0,105285.0,512.3241048423097,0.0
24.27,5650.0,23850.0,103552.0,599.8539333235294,0.0
25.28,8192.0,23647.0,101213.0,378.3700310927618,0.0
26.28,9322.0,24537.0,99193.0,852.315030683699,0.0
27.29,8431.0,27684.0,96937.0,876.5689781193524,0.0
28.29,13304.0,28512.0,91236.0,435.8873294732717,0.5245841035120148
29.3,14932.0,28399.0,89721.0,1342.3741471488577,0.0
30.31,10895.0,34211.0,87946.0,1139.6992194896427,0.0
31.31,17052.0,33833.0,82167.0,621.8389629043946,0.5399552783335295
32.32,19995.0,33696.0,79361.0,803.2683173438181,0.0
33.33,19236.0,36840.0,76976.0,1395.9181962342475,0.06172839506172839
34.33,16623.0,41261.0,75168.0,1124.6078430813254,0.0
35.34,17079.0,44025.0,71948.0,1189.8704082787053,0.06688963210702341
36.34,13877.0,49197.0,69978.0,1026.6430741672227,0.0
37.35,11096.0,54311.0,67645.0,995.9524457045587,0.0
38.35,7816.0,59003.0,66233.0,877.6969299828947,0.0
39.36,7296.0,61064.0,64692.0,725.8169788752163,0.24
40.36,5421.0,64767.0,62864.0,563.7020168344349,0.0
41.37,5080.0,67093.0,60879.0,966.7625369688866,0.2485207100591716
42.37,4483.0,68409.0,60160.0,608.1981599599109,0.0
43.38,2573.0,71663.0,58816.0,438.41489624656924,0.0
44.41,4572.0,71428.0,57052.0,757.9897836561564,0.0
45.41,4697.0,72630.0,55725.0,606.3864491927103,0.0
46.42,5781.0,73069.0,54202.0,450.93837796569915,0.0
47.43,7278.0,73884.0,51890.0,738.0900243640863,0.0
48.43,7434.0,76156.0,49462.0,1017.3796067064941,0.0
49.44,8826.0,76118.0,48108.0,1031.1132817485798,0.0
50.44,7422.0,80545.0,45085.0,1193.7720118335835,0.0
51.45,7146.0,83299.0,42607.0,1135.4294667666416,0.0
52.45,5103.0,86042.0,41907.0,756.2627296014524,0.0
53.46,5985.0,87521.0,39546.0,774.5633543463148,0.0
54.46,7069.0,87729.0,38254.0,739.6060563104958,0.0
55.47,5037.0,90260.0,37755.0,454.8670731375888,0.0
56.48,3767.0,92645.0,36640.0,307.29131380380187,0.0
57.48,2610.0,95618.0,34824.0,297.7656422077947,0.27106227106227104
58.49,2044.0,96579.0,34429.0,313.6181516161397,0.0
59.49,4726.0,96472.0,31854.0,756.8356812117985,0.0
60.5,7046.0,95705.0,30301.0,740.0634839817067,0.0
61.5,8049.0,96260.0,28743.0,753.6687474914831,0.0
62.51,11559.0,96993.0,24500.0,476.4234416904584,0.0
63.54,11847.0,97797.0,23408.0,892.4895641501736,0.0
64.55,8637.0,103959.0,20456.0,849.5134279402672,0.0
65.56,13662.0,103802.0,15588.0,1227.288481188292,0.17533432392273401
66.56,12742.0,105978.0,14332.0,1258.8412339902113,0.0
67.57,13857.0,107176.0,12019.0,1014.9274834312963,0.0
68.57,8847.0,113293.0,10912.0,460.07409576953864,0.0
69.58,7730.0,116336.0,8986.0,391.9924019880584,0.0
70.58,9653.0,116256.0,7143.0,642.1883739675382,0.0
71.59,7103.0,120564.0,5385.0,1021.0003583467343,0.0
72.59,8286.0,122093.0,2673.0,1060.894342223486,0.23563218390804597
73.6,7417.0,125116.0,519.0,882.0907656317025,0.0
