relative_time_s,kv_used,kv_evictable,kv_available,gen_throughput,global_hit_rate
0.04,0.0,16.0,133036.0,0.0,0.0
1.04,0.0,1840.0,131212.0,0.0,0.0
2.05,0.0,1840.0,131212.0,0.0,0.0
3.05,0.0,1840.0,131212.0,0.0,0.0
4.15,460.0,1809.0,130783.0,161.39121877527447,0.0
5.22,1580.0,1782.0,129690.0,472.51742201281877,0.0
6.34,1898.0,3206.0,127948.0,619.2045549659906,0.0
7.34,2175.0,3623.0,127254.0,469.66911310239004,0.0
8.7,0.0,6052.0,127000.0,0.0,0.0
9.7,1583.0,5838.0,125631.0,627.8949144072066,0.0
11.77,2845.0,6571.0,123636.0,770.9436548061744,0.0
12.96,3378.0,9152.0,120522.0,767.1777278737981,0.0
14.64,2343.0,12780.0,117929.0,849.4304602601338,0.0
15.64,2423.0,14889.0,115740.0,831.6414103907198,0.35443037974683544
16.64,3203.0,14889.0,114960.0,768.4914213695791,0.0
18.85,0.0,18241.0,114811.0,0.0,0.0
21.36,4251.0,16959.0,111842.0,458.9930274363097,0.0
24.76,0.0,25225.0,107827.0,0.0,0.0
27.96,2936.0,23860.0,106256.0,156.91573461947576,0.0
29.84,6191.0,26499.0,100362.0,895.5964886472489,0.0
41.79,1859.0,37284.0,93909.0,314.4247362832262,0.0
56.74,0.0,48086.0,84966.0,0.0,0.0
59.3,8407.0,48695.0,75950.0,877.0646187908272,0.0
60.31,12073.0,48846.0,72133.0,1128.7880415818663,0.0
62.45,9357.0,53573.0,70122.0,869.3741440783319,0.0
63.45,7105.0,57475.0,68472.0,699.2917308595075,0.0
64.46,8046.0,57620.0,67386.0,731.4951540380804,0.0
66.64,3775.0,63498.0,65779.0,460.34618439910804,0.0
67.93,1691.0,67623.0,63738.0,314.91465982350655,0.0
68.94,2909.0,67586.0,62557.0,463.8746807244352,0.0
69.94,3702.0,67912.0,61438.0,348.5342156057921,0.7657142857142857
70.95,3903.0,68863.0,60286.0,613.7979665244395,0.07592592592592592
72.55,2909.0,70714.0,59429.0,309.85958000480247,0.0
74.05,6048.0,71229.0,55775.0,1191.4873900483592,0.0
75.05,5685.0,74086.0,53281.0,1249.186054965013,0.0
76.06,2148.0,78404.0,52500.0,469.89464867910954,0.0
77.26,0.0,80777.0,52275.0,0.0,0.0
78.39,740.0,80735.0,51577.0,161.22236735157824,0.0
79.55,831.0,81472.0,50749.0,208.08025488839286,0.0
80.56,2534.0,81243.0,49275.0,464.5909833298252,0.0
86.48,0.0,84190.0,48862.0,0.0,0.0
88.21,1120.0,84094.0,47838.0,160.2790689378025,0.0
90.57,10385.0,83268.0,39399.0,1146.0619577746518,0.0
99.93,5716.0,92443.0,34893.0,156.28745770759588,0.08755364806866953
102.26,14715.0,94514.0,23823.0,1213.6799531289728,0.0
103.27,16715.0,94514.0,21823.0,1324.150534767436,0.0
118.6,0.0,113766.0,19286.0,0.0,0.0
120.6,16057.0,106317.0,10678.0,955.1625351356214,0.0
121.61,19780.0,106349.0,6923.0,1192.9966915580594,0.0
124.53,12748.0,114749.0,5555.0,842.4317483259042,0.0
128.54,2080.0,128411.0,2561.0,158.89262644208523,0.0
131.49,5929.0,127101.0,22.0,450.32958158495177,0.0
132.72,7633.0,125364.0,55.0,700.7425489967599,0.0
133.73,8759.0,124087.0,206.0,873.6000404674909,0.0
135.38,5037.0,127709.0,306.0,455.04874189932156,0.0
136.39,6406.0,126496.0,150.0,596.6034203888095,0.0
137.39,6462.0,126209.0,381.0,535.9226428328068,0.25598991172761665
138.4,7456.0,125409.0,187.0,1028.4105767555318,0.0
139.56,0.0,132843.0,209.0,0.0,0.0
140.57,2437.0,130223.0,392.0,773.8884256526538,0.0
141.57,3069.0,129915.0,68.0,403.15529461006486,0.0
143.06,815.0,132237.0,0.0,161.10390652127626,0.0
144.9,1941.0,131038.0,73.0,470.45992149674703,0.0
146.81,3067.0,129407.0,578.0,616.3077377048882,0.0
147.81,2969.0,129864.0,219.0,463.9190891127387,0.0
149.06,4130.0,128896.0,26.0,371.3993992671417,0.0
156.87,0.0,132659.0,393.0,0.0,0.0
158.46,11137.0,121831.0,84.0,1136.7264563628098,0.0
161.48,3748.0,128988.0,316.0,649.694289299759,0.0
164.79,2712.0,129672.0,668.0,419.87453378292474,0.0
