relative_time_s,kv_used,kv_evictable,kv_available,gen_throughput,global_hit_rate
0.04,0.0,16.0,133036.0,0.0,0.0
1.05,0.0,1941.0,131111.0,0.0,0.0
2.05,0.0,1941.0,131111.0,0.0,0.0
3.06,150.0,1865.0,131037.0,0.0,0.5100671140939598
4.06,713.0,1745.0,130594.0,318.23003509505077,0.0
5.07,1923.0,1737.0,129392.0,389.94182221623396,0.0
6.09,2097.0,2229.0,128726.0,624.608736304705,0.0
7.11,1695.0,3428.0,127929.0,586.453847414064,0.0
8.12,1276.0,4653.0,127123.0,316.2399262522796,0.0
9.13,2179.0,5058.0,125815.0,468.9307728114762,0.0
10.13,3016.0,5376.0,124660.0,923.0153579538678,0.0
11.14,3480.0,7168.0,122404.0,747.6574725456453,0.4381188118811881
12.14,2461.0,8879.0,121712.0,793.9908521340484,0.0
13.15,2079.0,11043.0,119930.0,399.8894141113165,0.0
14.15,4123.0,11420.0,117509.0,226.2904456399614,0.27239488117001825
15.16,3522.0,13014.0,116516.0,636.2886782498953,0.0
16.16,2765.0,15418.0,114869.0,495.0348704119077,0.18248945147679324
17.17,2961.0,16164.0,113927.0,617.1226701813199,0.0
18.2,6446.0,16645.0,109961.0,414.88437982995794,0.0
19.2,6117.0,19133.0,107802.0,547.6845131763785,0.0
20.21,4636.0,21859.0,106557.0,560.3824517671741,0.0
21.21,7315.0,22647.0,103090.0,246.4835487624826,0.0
22.22,7792.0,23722.0,101538.0,734.3156824924645,0.0
23.22,10642.0,24376.0,98034.0,732.5426095043233,0.19759825327510916
24.23,13516.0,25366.0,94170.0,857.0179834974022,0.09794776119402986
25.23,15884.0,26614.0,90554.0,956.3876734750211,0.0
26.24,15083.0,29385.0,88584.0,1078.953686959826,0.2453580901856764
27.24,17208.0,30465.0,85379.0,506.94400499728977,0.0
28.25,18476.0,34212.0,80364.0,1175.6271641096153,0.0
29.25,18705.0,37991.0,76356.0,542.792275659747,0.0
30.26,19785.0,37991.0,75276.0,1160.8003861877467,0.0
31.26,18988.0,43367.0,70697.0,491.48858937962746,0.2037037037037037
32.27,14535.0,50175.0,68342.0,1105.2291544692116,0.0
33.27,12806.0,53369.0,66877.0,889.2124866607406,0.0
34.28,12160.0,56107.0,64785.0,1050.32786214656,0.0
35.29,8616.0,61177.0,63259.0,1008.1996517578643,0.2
36.29,8607.0,65843.0,58602.0,322.3858072421543,0.4630681818181818
37.3,6955.0,68533.0,57564.0,888.8421259176185,0.0
38.3,6694.0,69787.0,56571.0,743.025905902889,0.0
39.31,5902.0,71094.0,56056.0,450.91022654696246,0.0
40.31,6382.0,71094.0,55576.0,448.921260167476,0.0
41.32,5935.0,74038.0,53079.0,489.01292371179034,0.0
42.32,6921.0,74006.0,52125.0,924.9485617534784,0.0
43.33,4077.0,78563.0,50412.0,944.042986326605,0.19047619047619047
44.33,1537.0,81740.0,49775.0,570.2873582546625,0.0
45.34,2139.0,81917.0,48996.0,314.3837678886408,0.31901840490797545
46.34,2808.0,83366.0,46878.0,374.7167043109551,0.47297297297297297
47.35,2979.0,84437.0,45636.0,568.4549582503028,0.0
48.35,3661.0,86389.0,43002.0,973.3556261604311,0.0
49.36,3415.0,87581.0,42056.0,721.6565798616041,0.0
50.37,3926.0,90419.0,38707.0,172.56022216499795,0.0
51.37,4286.0,90419.0,38347.0,458.47886455309015,0.0
52.37,3841.0,91603.0,37608.0,303.2704245232871,0.0
53.38,4802.0,91539.0,36711.0,455.841378775933,0.0
54.38,4791.0,94662.0,33599.0,711.1883070947149,0.0
55.39,5506.0,95296.0,32250.0,900.1979794188983,0.0
56.4,8797.0,97223.0,27032.0,820.7769087164901,0.06623794212218649
57.4,11418.0,99057.0,22577.0,951.8455619135815,0.04091100801349642
58.41,13052.0,99634.0,20366.0,1228.5893520270195,0.0
59.41,13511.0,100805.0,18736.0,1235.3934195619697,0.0
60.42,6749.0,111268.0,15035.0,578.2366512843166,0.0
61.42,8440.0,111109.0,13503.0,873.6778151235558,0.0
62.43,13746.0,111887.0,7419.0,306.3450553306416,0.0
63.43,12223.0,115269.0,5560.0,982.8107435476652,0.0
64.44,14544.0,116189.0,2319.0,1105.069057784989,0.0
65.44,16124.0,114693.0,2235.0,294.2389740152945,0.0
66.45,14847.0,117265.0,940.0,792.6154332606395,0.0
67.45,16520.0,116408.0,124.0,957.2435968266833,0.17632241813602015
68.46,15138.0,117743.0,171.0,1083.3558331652298,0.0
69.46,8035.0,124149.0,868.0,955.1218940765365,0.23903177004538578
70.47,10063.0,122445.0,544.0,1415.762810063377,0.034482758620689655
71.47,12425.0,120486.0,141.0,500.2059615088807,0.0
72.48,12979.0,119908.0,165.0,936.7601750560963,0.0
73.48,10602.0,121459.0,991.0,965.0772155870033,0.2
74.49,7877.0,125073.0,102.0,538.5485462315453,0.0
75.49,6088.0,125924.0,1040.0,367.15170284044683,0.3005366726296959
76.5,3776.0,128840.0,436.0,720.4338606806913,0.0
77.51,4169.0,128570.0,313.0,1058.4058833364052,0.0
78.51,6258.0,126359.0,435.0,1037.5424047297788,0.1572052401746725
79.52,5886.0,127160.0,6.0,780.8949951919133,0.0
80.52,5575.0,126398.0,1079.0,424.7037164889583,0.0
81.53,2090.0,130852.0,110.0,484.692674597521,0.0
82.57,2376.0,130095.0,581.0,724.810151523957,0.0
83.58,3213.0,129408.0,431.0,1085.0838093538352,0.0
84.59,3376.0,128697.0,979.0,750.8207375697993,0.0
85.59,3684.0,126171.0,3197.0,623.8963638882277,0.15725359911406422
86.6,1828.0,128665.0,2559.0,465.8644754727368,0.0
87.61,2527.0,128489.0,2036.0,374.97201046807095,0.0
88.62,6495.0,124702.0,1855.0,387.13417375820006,0.0
89.62,6975.0,124702.0,1375.0,593.7813582695011,0.0
90.63,9296.0,123561.0,195.0,569.3822188779229,0.0
91.63,6336.0,126361.0,355.0,597.6697305454669,0.24696356275303644
92.64,7387.0,125608.0,57.0,882.6548643051423,0.2535211267605634
93.64,7959.0,122642.0,2451.0,1209.2873863313318,0.0
94.65,10881.0,122074.0,97.0,563.5052420198052,0.0
95.65,14414.0,118265.0,373.0,568.1026226155371,0.2274741506646972
96.66,14233.0,118300.0,519.0,1040.0987638981155,0.0
97.67,17335.0,114961.0,756.0,1113.136382062587,0.0
98.67,17983.0,114961.0,108.0,1069.309457861124,0.0
