relative_time_s,kv_used,kv_evictable,kv_available,gen_throughput,global_hit_rate
0.04,0.0,16.0,144734.0,0.0,0.0
1.04,0.0,1561.0,143189.0,0.0,0.0
2.05,0.0,1561.0,143189.0,0.0,0.0
3.05,0.0,1561.0,143189.0,0.0,0.0
4.06,1225.0,1558.0,141967.0,21.897607364499713,0.0
5.06,2307.0,1558.0,140885.0,624.0912621770494,0.0
6.07,1565.0,3076.0,140109.0,444.7245456804062,0.0
7.08,559.0,4372.0,139819.0,189.08862252973094,0.0
8.08,410.0,4995.0,139345.0,105.29533005151117,0.0
9.09,1409.0,4939.0,138402.0,473.9404626487461,0.0
10.09,4309.0,4886.0,135555.0,472.8337207776705,0.051846032992930086
11.1,4187.0,6690.0,133873.0,906.2425578389837,0.14285714285714285
12.1,6935.0,6690.0,131125.0,900.0340066586991,0.06013179571663921
13.11,4236.0,11182.0,129332.0,849.3667163492435,0.0
14.11,3799.0,13067.0,127884.0,765.5619226607506,0.0
15.21,3519.0,14578.0,126653.0,766.6576185698946,0.0
16.21,5882.0,14447.0,124421.0,1045.4758743529524,0.0
17.22,7002.0,14447.0,123301.0,1034.735796120852,0.0
18.22,6525.0,16652.0,121573.0,858.6285008614664,0.0
19.23,6344.0,18484.0,119922.0,957.1280559631887,0.0
20.23,5817.0,20131.0,118802.0,816.1347002756403,0.0
21.24,3959.0,23970.0,116821.0,512.1399520047912,0.0
22.24,2695.0,25986.0,116069.0,537.5349477968226,0.0
23.25,3751.0,27068.0,113931.0,569.554339524527,0.12544802867383512
24.25,2930.0,29028.0,112792.0,615.0311640747293,0.355
25.26,2458.0,30537.0,111755.0,623.0367818963049,0.0
26.26,1609.0,31879.0,111262.0,428.0861074079564,0.0
27.27,1377.0,32650.0,110723.0,282.5527684774158,0.0
28.27,1641.0,32907.0,110202.0,221.642624519798,0.0
29.27,2497.0,32849.0,109404.0,468.243362510748,0.0
30.28,1553.0,34974.0,108223.0,591.8065960090711,0.4025974025974026
31.28,1222.0,35857.0,107671.0,161.3077470691765,0.1725
