relative_time_s,kv_used,kv_evictable,kv_available,gen_throughput,global_hit_rate
0.04,0.0,16.0,144734.0,0.0,0.0
1.04,961.0,699.0,143090.0,1028.8829468313536,0.0
2.05,0.0,1787.0,142963.0,0.0,0.0
3.05,0.0,1787.0,142963.0,0.0,0.0
4.06,308.0,1741.0,142701.0,14.22986925529301,0.19083969465648856
5.06,1147.0,1741.0,141862.0,472.5941509758224,0.0
6.07,731.0,2583.0,141436.0,271.65295899859746,0.0
7.07,454.0,3346.0,140950.0,161.6059259217304,0.0
8.08,614.0,3346.0,140790.0,161.49619506448704,0.0
9.09,1940.0,3871.0,138939.0,434.5331585141921,0.0
10.09,3549.0,3867.0,137334.0,919.1111176776558,0.0
11.1,2538.0,6686.0,135526.0,667.7413969630845,0.0
12.1,4331.0,8143.0,132276.0,769.5788171706305,0.05019305019305019
13.11,5207.0,8143.0,131400.0,902.7248286285391,0.0
14.11,2675.0,12247.0,129828.0,545.5400758719614,0.09504132231404959
15.12,3175.0,12247.0,129328.0,616.3859224601238,0.0
16.12,4286.0,13276.0,127188.0,753.9547726916471,0.25161290322580643
17.13,4693.0,13538.0,126519.0,645.1623137704051,0.0
18.13,4596.0,16088.0,124066.0,630.3980346162258,0.0
19.14,2294.0,19242.0,123214.0,328.8930178710713,0.0
20.15,665.0,21642.0,122443.0,316.80282964525054,0.2671232876712329
21.15,2068.0,21834.0,120848.0,341.52524956724056,0.0
22.16,4118.0,21830.0,118802.0,224.20600593132244,0.14739884393063585
23.16,4424.0,23272.0,117054.0,715.0063067222603,0.0
24.17,4045.0,25056.0,115649.0,901.2651453090474,0.10386965376782077
25.17,3406.0,27120.0,114224.0,630.2341660063001,0.0
26.18,3493.0,27941.0,113316.0,709.9491329656677,0.0
27.19,2674.0,29555.0,112521.0,619.3957699819761,0.0
28.19,2004.0,30753.0,111993.0,464.79657109315684,0.3
29.2,1689.0,31952.0,111109.0,316.75339562485624,0.0
30.2,2546.0,32170.0,110034.0,339.2628104114163,0.0
31.21,3552.0,32732.0,108466.0,747.9921914644993,0.0
32.21,1430.0,35613.0,107707.0,436.15387680148746,0.0
33.22,943.0,36843.0,106964.0,317.3893708595557,0.0
34.22,778.0,37259.0,106713.0,161.26434211483343,0.0
35.23,1096.0,37219.0,106435.0,271.5068174622651,0.0
36.24,740.0,38226.0,105784.0,314.32768657374277,0.2949640287769784
37.24,2144.0,38790.0,103816.0,571.056706405364,0.0
38.25,3156.0,38790.0,102804.0,616.8441493091841,0.0
39.25,1414.0,41371.0,101965.0,316.0510146330589,0.0
40.26,1082.0,42225.0,101443.0,317.404104185261,0.0
41.27,2446.0,42194.0,100110.0,469.21247304266086,0.0
42.27,2736.0,42779.0,99235.0,464.87709440197773,0.0
43.28,2941.0,44045.0,97764.0,618.1138996865021,0.0
44.28,2204.0,45880.0,96666.0,624.5945356738723,0.0
45.29,2746.0,46944.0,95060.0,618.656377256208,0.0
46.29,4033.0,46912.0,93805.0,542.8194410145975,0.0
47.3,2210.0,49982.0,92558.0,574.9692513036023,0.0
48.3,2191.0,51884.0,90675.0,359.3854454249043,0.0
49.31,2388.0,52137.0,90225.0,510.32012798518986,0.0
50.32,2659.0,53829.0,88262.0,498.3814607565504,0.0
51.32,2879.0,55017.0,86854.0,351.84216777460387,0.0
52.33,3129.0,56333.0,85288.0,559.6890110628775,0.0
53.33,4504.0,56325.0,83921.0,631.2781622987893,0.0
54.34,2848.0,58740.0,83162.0,569.7398540428669,0.0
55.34,2904.0,59602.0,82244.0,615.7964316166397,0.10337078651685393
56.35,3093.0,59989.0,81668.0,528.3610175297316,0.0
57.35,2243.0,61470.0,81037.0,461.98567255338577,0.272108843537415
58.36,1415.0,64027.0,79308.0,78.81952160157643,0.0
59.36,3272.0,63973.0,77505.0,160.1673595143478,0.0330818340104469
60.37,3560.0,63973.0,77217.0,308.7096508477297,0.0
61.37,3254.0,65550.0,75946.0,528.8356162470172,0.0
62.37,2723.0,67500.0,74527.0,589.1499439595143,0.0
63.38,2380.0,68626.0,73744.0,623.7833228147152,0.0
64.38,2805.0,69503.0,72442.0,465.9009924410363,0.0
65.39,1408.0,71787.0,71555.0,440.42865136520925,0.0
66.39,3209.0,71855.0,69686.0,784.9262335161511,0.0
67.4,2161.0,73469.0,69120.0,470.3150062530695,0.0
68.4,2073.0,75747.0,66930.0,386.44686524558597,0.0
69.41,2713.0,75747.0,66290.0,619.5962901874831,0.0
70.41,3111.0,76608.0,65031.0,770.3561529034464,0.0
71.42,3536.0,77343.0,63871.0,624.3171007575047,0.0
72.42,3384.0,79059.0,62307.0,691.2844822639502,0.0
73.43,2858.0,80789.0,61103.0,569.7084307468372,0.107981220657277
74.43,2399.0,82074.0,60277.0,468.8014271496629,0.0
75.44,2169.0,84017.0,58564.0,457.35752452003726,0.0
76.44,2392.0,84456.0,57902.0,525.9031185256022,0.0
77.45,2964.0,86123.0,55663.0,376.7249535199681,0.0
78.45,4714.0,86074.0,53962.0,480.20266047544123,0.0
79.46,4212.0,87782.0,52756.0,762.5867933838545,0.0
80.46,4568.0,88740.0,51442.0,620.9348416816464,0.0
81.46,4156.0,91081.0,49513.0,727.2188738754551,0.04782237403928266
82.47,4283.0,92663.0,47804.0,976.3166141537255,0.0
83.48,4952.0,92853.0,46945.0,756.4823339995158,0.0
84.48,1792.0,97080.0,45878.0,473.91188182348367,0.0
85.48,1981.0,97341.0,45428.0,357.1053050277374,0.0
86.49,1924.0,98636.0,44190.0,313.2784099639035,0.375
87.49,1954.0,99862.0,42934.0,565.0900044580723,0.0
88.5,4851.0,100001.0,39898.0,460.7735066272512,0.032
89.5,3979.0,102137.0,38634.0,506.0904274785244,0.0
90.51,3716.0,103426.0,37608.0,613.599729291943,0.0
91.51,2580.0,105452.0,36718.0,620.5852005178973,0.0
92.52,2393.0,106376.0,35981.0,571.6364005503035,0.0
93.52,3948.0,106540.0,34262.0,828.5149588652429,0.0
94.53,5325.0,106512.0,32913.0,653.9149059833907,0.0
95.53,4332.0,108239.0,32179.0,610.376567207888,0.0
96.54,1668.0,111695.0,31387.0,405.2675035414775,0.0
97.54,499.0,113520.0,30731.0,144.36996321809895,0.18085106382978725
98.55,2915.0,113728.0,28107.0,143.52265131609389,0.0
99.55,4502.0,113727.0,26521.0,612.883351209154,0.08360655737704918
100.56,3149.0,117278.0,24323.0,742.0969149131073,0.0
101.56,4835.0,118030.0,21885.0,545.308985013561,0.07434402332361516
102.57,3769.0,120287.0,20694.0,765.5335484072875,0.0
103.57,2564.0,122481.0,19705.0,785.1336348004858,0.0
104.58,3836.0,122473.0,18441.0,765.1067116352782,0.0
105.58,4341.0,123851.0,16558.0,412.18821310676816,0.0
106.59,4157.0,125129.0,15464.0,516.9217551147306,0.0
107.59,3654.0,127948.0,13148.0,691.8350939475221,0.12
108.6,4599.0,129334.0,10817.0,467.19506948195414,0.0
109.6,3343.0,131856.0,9551.0,629.0314495201396,0.4166666666666667
110.61,1961.0,134242.0,8547.0,464.23072836466906,0.11816192560175055
111.61,1844.0,134916.0,7990.0,471.58711783853795,0.0
112.61,1022.0,136265.0,7463.0,419.2788762476728,0.0
113.62,1662.0,137042.0,6046.0,316.595814898685,0.16822429906542055
114.62,1651.0,137423.0,5676.0,315.5236881545516,0.0
115.63,2869.0,138608.0,3273.0,464.923759185071,0.0
116.63,3454.0,139154.0,2142.0,463.08675827272015,0.0
117.64,2965.0,141036.0,749.0,618.1317569557478,0.0
118.65,3405.0,141286.0,59.0,625.5730339369463,0.0
119.65,3979.0,140493.0,278.0,418.0569684342191,0.0
120.66,3419.0,141264.0,67.0,640.9906099496283,0.0
121.66,4219.0,140284.0,247.0,762.0484043998135,0.0
122.67,3365.0,141323.0,62.0,615.3611772271191,0.0
123.67,1986.0,142530.0,234.0,427.152966184722,0.0
124.68,2306.0,141932.0,512.0,312.79813694610783,0.0
125.68,1058.0,143403.0,289.0,160.67908831422668,0.0
126.69,1218.0,143403.0,129.0,160.4497296820286,0.0
127.69,626.0,143381.0,743.0,68.47623928162477,0.0
128.7,786.0,143381.0,583.0,161.3589424220189,0.0
129.7,485.0,144237.0,28.0,161.72029707313774,0.0
130.7,645.0,143610.0,495.0,161.607661379018,0.0
131.71,805.0,143610.0,335.0,161.33557786081835,0.0
132.71,965.0,143610.0,175.0,161.08351019068687,0.0
