relative_time_s,kv_used,kv_evictable,kv_available,gen_throughput,global_hit_rate
0.04,0.0,16.0,144734.0,0.0,0.0
1.04,230.0,1458.0,143062.0,213.86527130347775,0.0
2.05,0.0,1766.0,142984.0,0.0,0.0
3.05,0.0,1766.0,142984.0,0.0,0.0
4.06,610.0,1735.0,142405.0,161.58629589854584,0.0
5.06,1232.0,1708.0,141810.0,310.739678002808,0.0
6.07,322.0,2882.0,141546.0,161.6483175480025,0.0
7.07,1603.0,2845.0,140302.0,317.6990279357923,0.06092124814264487
8.08,1893.0,3260.0,139597.0,470.45219159029693,0.0
9.08,1564.0,4770.0,138416.0,441.9434253289231,0.0
10.09,2368.0,5407.0,136975.0,268.2175111273845,0.0
11.09,3352.0,6471.0,134927.0,423.8425536979981,0.0
12.1,4144.0,7356.0,133250.0,825.8590969896987,0.0
13.1,3227.0,9206.0,132317.0,500.36296140478385,0.0
14.11,2616.0,11132.0,131002.0,619.145018852501,0.0
15.11,2179.0,12330.0,130241.0,550.3971007749763,0.0
16.11,3733.0,12882.0,128135.0,351.27524950969416,0.0
17.12,3190.0,14482.0,127078.0,760.2251826514373,0.1943127962085308
18.12,4670.0,14788.0,125292.0,463.24862400922945,0.07509157509157509
19.13,3773.0,16744.0,124233.0,612.9007619727215,0.0
20.13,6719.0,16546.0,121485.0,890.6977971471085,0.0
21.14,3309.0,21217.0,120224.0,485.96388767657777,0.0
22.14,2223.0,24071.0,118456.0,315.5454494518117,0.07865168539325842
23.15,2165.0,24895.0,117690.0,567.6396071395445,0.0
24.15,3070.0,25701.0,115979.0,568.3840003180193,0.0
25.16,3014.0,26756.0,114980.0,408.2717695801525,0.07792207792207792
26.16,1218.0,29487.0,114045.0,317.0798744579605,0.0
27.19,1102.0,30312.0,113336.0,424.7698496647505,0.0
28.2,3268.0,30751.0,110731.0,338.9301191374321,0.0
29.2,4982.0,30947.0,108821.0,605.718093130911,0.0
30.21,2660.0,34543.0,107547.0,460.1428341630525,0.080078125
31.21,2148.0,36299.0,106303.0,615.2200109058324,0.08048289738430583
32.24,2131.0,37019.0,105600.0,575.1699667951427,0.0
33.24,2489.0,37743.0,104518.0,468.2415884075871,0.0
34.25,2324.0,38761.0,103665.0,510.5056828060018,0.0
35.25,2637.0,39662.0,102451.0,440.0547933224006,0.12238805970149254
36.26,2856.0,40115.0,101779.0,615.2480894653401,0.0
37.26,2483.0,42143.0,100124.0,352.4906600628953,0.0
38.27,1464.0,43351.0,99935.0,160.2756914987107,0.0
39.27,2256.0,44541.0,97953.0,223.37260910021152,0.0
40.28,3517.0,44446.0,96787.0,436.2585320068197,0.0
41.28,4835.0,45619.0,94296.0,907.7201656822276,0.0
42.29,4826.0,47422.0,92502.0,870.2727815763046,0.0
43.29,3855.0,50318.0,90577.0,813.1827277194806,0.0761904761904762
44.3,4385.0,50559.0,89806.0,759.6852827461472,0.0
45.3,3979.0,51782.0,88989.0,611.1663079176096,0.0
46.31,2659.0,54420.0,87671.0,673.4256691993722,0.3
47.31,5272.0,54300.0,85178.0,760.1721254708044,0.128068303094984
48.36,5151.0,55596.0,84003.0,752.7025531149511,0.0
49.36,5391.0,56864.0,82495.0,899.2676330705058,0.0
50.37,4264.0,59510.0,80976.0,835.4868326876368,0.0
51.37,1801.0,62840.0,80109.0,471.60688582523613,0.0
52.37,888.0,64102.0,79760.0,243.56548793821557,0.0
53.38,2398.0,63978.0,78374.0,312.6782974710202,0.0
54.38,2397.0,65050.0,77303.0,469.2492046907007,0.0
55.39,1665.0,66992.0,76093.0,430.2901683724758,0.0
56.39,1092.0,68067.0,75591.0,317.04339407455336,0.0
57.4,840.0,68528.0,75382.0,161.18072618620315,0.0
58.4,2363.0,68517.0,73870.0,623.2642868700397,0.0
59.41,3003.0,68517.0,73230.0,617.0049915195716,0.0
60.41,2072.0,70462.0,72216.0,315.2339029646924,0.11864406779661017
61.42,3555.0,70693.0,70502.0,613.0458525282872,0.3392226148409894
62.42,2734.0,72321.0,69695.0,675.3717297155288,0.0
63.43,1079.0,75341.0,68330.0,365.98049634634395,0.0
64.43,3068.0,75131.0,66551.0,616.817147112578,0.0
65.44,2101.0,76987.0,65662.0,391.0397648797014,0.0
66.44,1581.0,79133.0,64036.0,380.1834179251882,0.11647727272727272
67.45,3590.0,79034.0,62126.0,765.8759703155677,0.0
68.45,5297.0,79386.0,60067.0,545.7643281507027,0.0
69.46,4079.0,82633.0,58038.0,490.80757082261465,0.0
70.46,4497.0,83085.0,57168.0,758.9866591535722,0.0
71.47,1855.0,87281.0,55614.0,551.2196480020019,0.07936507936507936
72.47,3916.0,87180.0,53654.0,617.1536554767861,0.12142857142857143
73.48,3597.0,88353.0,52800.0,666.426016786904,0.0
74.48,3161.0,90280.0,51309.0,462.8742561121131,0.0
75.49,1901.0,92447.0,50402.0,314.37942529273494,0.0
76.49,1312.0,93802.0,49636.0,316.12482805207054,0.0
77.5,1454.0,94547.0,48749.0,161.41031357544134,0.17801047120418848
78.57,1764.0,94547.0,48439.0,314.96668868912496,0.0
79.58,3095.0,95461.0,46194.0,461.265693845361,0.08401639344262295
80.58,4566.0,95387.0,44797.0,390.13170487505306,0.0
81.58,4819.0,97039.0,42892.0,630.1662889105704,0.0
82.59,5273.0,97725.0,41752.0,741.1141322538474,0.0
83.59,4531.0,100522.0,39697.0,971.3012644141088,0.0
84.6,3235.0,102526.0,38989.0,615.547017996715,0.0
85.6,3006.0,103335.0,38409.0,463.5217982214518,0.0
86.61,1646.0,106767.0,36337.0,220.1832324176571,0.1774891774891775
87.61,2072.0,106958.0,35720.0,184.91015925899697,0.0
88.62,2050.0,108624.0,34076.0,616.1913591841297,0.08016032064128256
89.78,2320.0,109353.0,33077.0,635.1862663678148,0.0
90.79,3744.0,110541.0,30465.0,499.32688344204024,0.0
91.79,3945.0,111030.0,29775.0,612.5517590458877,0.0
92.8,1450.0,114459.0,28841.0,331.97125527314023,0.0
93.8,2158.0,115254.0,27338.0,136.03538479254092,0.0
94.81,4072.0,115201.0,25477.0,763.3882011247182,0.0
95.81,3798.0,116553.0,24399.0,758.3780871181756,0.08350730688935282
96.82,1282.0,120165.0,23303.0,469.3410617326347,0.23837209302325582
97.82,1430.0,120357.0,22963.0,316.2483346210834,0.0
98.82,952.0,121187.0,22611.0,161.18654379467398,0.0
99.83,0.0,122355.0,22395.0,0.0,0.0
100.83,1442.0,122235.0,21073.0,160.1472060299994,0.0
101.84,5087.0,121927.0,17736.0,613.1614993173989,0.0739385065885798
102.84,5818.0,123360.0,15572.0,563.6914265444403,0.0
103.85,6885.0,124879.0,12986.0,759.1363832905407,0.0
104.85,5748.0,127714.0,11288.0,1047.05198456427,0.0
105.86,4642.0,130602.0,9506.0,861.135509952206,0.0
106.86,3257.0,133130.0,8363.0,855.206195807966,0.0
107.87,813.0,136012.0,7925.0,196.5498694876424,0.0
108.87,1994.0,135865.0,6891.0,314.25848490920686,0.0
109.88,2989.0,135782.0,5979.0,617.0878085907525,0.0
110.88,2855.0,137016.0,4879.0,497.1131451602838,0.0
111.89,3389.0,138161.0,3200.0,614.1861044310914,0.0
112.89,2536.0,139624.0,2590.0,506.6195196475323,0.0
113.9,2342.0,140696.0,1712.0,469.4284634920305,0.0
114.9,2822.0,140696.0,1232.0,464.7425828020798,0.0
115.91,2052.0,141851.0,847.0,314.04040252205397,0.0
116.91,2372.0,141851.0,527.0,312.8586447750766,0.0
117.92,2407.0,141976.0,367.0,312.7598667981605,0.0
