relative_time_s,kv_used,kv_evictable,kv_available,gen_throughput,global_hit_rate
0.04,0.0,16.0,144734.0,0.0,0.0
1.04,0.0,1803.0,142947.0,0.0,0.0
2.05,0.0,1803.0,142947.0,0.0,0.0
3.05,0.0,1803.0,142947.0,0.0,0.0
4.06,761.0,1744.0,142245.0,0.0,0.14622641509433962
5.46,1187.0,1744.0,141819.0,317.25985707141615,0.0
6.47,3744.0,1744.0,139262.0,918.4783738718929,0.0
7.47,3116.0,3026.0,138608.0,617.1875031643397,0.0
8.48,0.0,6402.0,138348.0,0.0,0.0
9.76,0.0,6402.0,138348.0,0.0,0.0
10.77,2546.0,6261.0,135943.0,350.00627529723147,0.0
12.74,4431.0,6187.0,134132.0,761.1660567720592,0.0
14.62,1893.0,10863.0,131994.0,314.9392227328169,0.0
15.65,3381.0,12061.0,129308.0,615.6314575533116,0.0
16.67,4441.0,12061.0,128248.0,760.8455663271963,0.0
17.77,2252.0,15371.0,127127.0,514.2299323585593,0.0
19.48,3749.0,16255.0,124746.0,667.5132311043769,0.0
21.37,4151.0,18181.0,122418.0,754.6318358804539,0.0
22.46,2313.0,23236.0,119201.0,428.26115419104076,0.0
23.46,3143.0,23365.0,118242.0,463.9296656652568,0.0
24.61,830.0,26111.0,117809.0,169.22973903677124,0.0
25.62,1463.0,27191.0,116096.0,316.4524377922634,0.0
27.04,1783.0,27191.0,115776.0,315.3535965066116,0.0
28.05,3153.0,28059.0,113538.0,266.56146160538384,0.0
29.05,2704.0,29181.0,112865.0,465.53043154252094,0.0
30.38,469.0,32093.0,112188.0,161.68995429732658,0.0
31.45,2134.0,32083.0,110533.0,625.4388944109783,0.0
32.46,3092.0,32044.0,109614.0,770.6464081495532,0.0
33.46,2307.0,33423.0,109020.0,469.65107512284135,0.0
34.86,1149.0,35035.0,108566.0,160.60258475249802,0.0
35.86,2677.0,34960.0,107113.0,619.7944241055288,0.0
37.06,620.0,37693.0,106437.0,326.26323424611843,0.0
38.37,1635.0,38420.0,104695.0,159.83158418084602,0.0
39.38,4205.0,38219.0,102326.0,459.63737660069256,0.0
40.38,3291.0,39965.0,101494.0,378.23549259615817,0.0
41.72,721.0,42777.0,101252.0,161.39865361722116,0.0
42.98,2763.0,42731.0,99256.0,618.4841534748606,0.0
43.99,4093.0,43504.0,97153.0,762.0759168956774,0.22263222632226323
44.99,1969.0,46350.0,96431.0,345.50110758202254,0.0
46.3,531.0,48479.0,95740.0,161.60538531227928,0.0
47.3,1659.0,48421.0,94670.0,484.09513972091094,0.0
48.4,2658.0,49040.0,93052.0,467.81092873307233,0.0
49.41,3435.0,49561.0,91754.0,615.7641368714037,0.0
51.92,1161.0,52362.0,91227.0,160.74278210752695,0.0
53.13,6211.0,52050.0,86489.0,1043.4733312686972,0.0
54.13,6408.0,53609.0,84733.0,1053.1309901688185,0.0
