relative_time_s,kv_used,kv_evictable,kv_available,gen_throughput,global_hit_rate
0.06,0.0,16.0,144734.0,0.0,0.0
1.07,0.0,1803.0,142947.0,0.0,0.0
2.08,0.0,1803.0,142947.0,0.0,0.0
3.08,0.0,1803.0,142947.0,0.0,0.0
4.09,1206.0,1772.0,141772.0,474.6158158003752,0.0
5.09,2248.0,1772.0,140730.0,624.7471067641736,0.0
6.1,883.0,3564.0,140303.0,161.2090023886536,0.0
7.1,0.0,4498.0,140252.0,0.0,0.0
8.12,0.0,4498.0,140252.0,0.0,0.0
9.13,987.0,4383.0,139380.0,161.05400051300512,0.0
10.16,3449.0,4203.0,137098.0,614.9845773768684,0.0
11.17,4293.0,5340.0,135117.0,913.671013831573,0.0
12.17,2815.0,8437.0,133498.0,661.4296219566611,0.0
13.18,1693.0,10711.0,132346.0,499.27543216855145,0.024096385542168676
14.18,2075.0,11238.0,131437.0,470.74777448482786,0.0
15.19,1499.0,12281.0,130970.0,456.41335661374,0.0
16.19,2294.0,13685.0,128771.0,313.493726129492,0.0
17.2,4455.0,13467.0,126828.0,244.11424805346275,0.1600771456123433
18.2,2753.0,16274.0,125723.0,491.88800380834493,0.0
19.21,2465.0,17420.0,124865.0,464.15213254572325,0.0823045267489712
20.21,1912.0,19482.0,123356.0,567.4017142791511,0.0
21.26,2088.0,19690.0,122972.0,470.74881048327796,0.0
22.26,3308.0,21879.0,119563.0,563.156531605184,0.0
23.27,3621.0,22065.0,119064.0,462.0420927506747,0.0
24.35,1150.0,25766.0,117834.0,309.7423601388216,0.0
25.35,2265.0,25729.0,116756.0,470.16399986266146,0.0
26.42,4614.0,25497.0,114639.0,459.04757054953757,0.17801047120418848
27.42,3287.0,28462.0,113001.0,584.795859365759,0.0
28.43,3647.0,28462.0,112641.0,461.08914967014795,0.0
29.43,2029.0,32131.0,110590.0,626.137559869503,0.0
30.44,4043.0,32034.0,108673.0,763.710942646898,0.0
31.44,5985.0,32384.0,106381.0,555.8487467153899,0.0
32.45,4881.0,35053.0,104816.0,722.51871665542,0.0
33.45,3931.0,37404.0,103415.0,762.3111208118337,0.08016032064128256
34.46,4183.0,38016.0,102551.0,615.3191559026391,0.0
35.46,5793.0,37908.0,101049.0,594.1068831257732,0.0
36.47,2001.0,42754.0,99995.0,702.671128023769,0.25949367088607594
37.47,1890.0,44048.0,98812.0,404.1688914586744,0.0
38.48,1589.0,45124.0,98037.0,315.98740986089496,0.0
39.48,811.0,46152.0,97787.0,161.32657422336743,0.0
40.49,1586.0,46115.0,97049.0,161.20169934687607,0.06366459627329192
