relative_time_s,kv_used,kv_evictable,kv_available,gen_throughput,global_hit_rate
0.04,0.0,16.0,144734.0,0.0,0.0
1.05,0.0,1908.0,142842.0,0.0,0.0
2.05,0.0,1908.0,142842.0,0.0,0.0
3.06,0.0,1908.0,142842.0,0.0,0.0
4.07,907.0,1675.0,142168.0,230.99740660245502,0.0
5.07,1855.0,1624.0,141271.0,471.6114675774224,0.0
6.07,1283.0,2914.0,140553.0,245.25480831246136,0.0
7.08,655.0,3717.0,140378.0,161.5795369216475,0.0
8.08,0.0,4477.0,140273.0,0.0,0.0
9.09,814.0,4341.0,139595.0,161.28889309220625,0.0
10.09,3430.0,4075.0,137245.0,375.195242224609,0.0
11.1,3961.0,4927.0,135862.0,634.2078656127325,0.0
12.1,3469.0,6906.0,134375.0,971.4945224653892,0.0
13.11,2369.0,8749.0,133632.0,623.8055172144933,0.0
14.11,1858.0,9751.0,133141.0,315.02992162013015,0.0
15.12,2321.0,9665.0,132764.0,469.4643321578517,0.0
16.12,4988.0,9409.0,130353.0,354.9710233280092,0.0
17.13,5865.0,9733.0,129152.0,749.8703005621759,0.0
18.13,3273.0,13877.0,127600.0,496.7372657388491,0.0
19.14,2998.0,16173.0,125579.0,709.6682651062333,0.1975560081466395
20.14,3408.0,16365.0,124977.0,615.5403778755868,0.0
21.15,3198.0,17608.0,123944.0,617.109788521703,0.0
22.15,6368.0,17361.0,121021.0,344.98031573741264,0.0
23.16,6834.0,18461.0,119455.0,890.6549818462601,0.0
24.16,5219.0,21693.0,117838.0,742.0216911844841,0.24524714828897337
25.17,5695.0,22462.0,116593.0,900.4891975064253,0.0
26.17,5760.0,23989.0,115001.0,885.4390636979156,0.0
27.18,5264.0,26312.0,113174.0,912.3812253551494,0.12614980289093297
28.18,3811.0,28905.0,112034.0,612.9918018900249,0.0
29.19,1819.0,31580.0,111351.0,464.58248460100526,0.0
30.19,2139.0,31580.0,111031.0,313.75525880125423,0.0
31.2,3328.0,31468.0,109954.0,270.4421031865295,0.0
32.2,1887.0,34225.0,108638.0,419.15884301827805,0.0
33.21,1374.0,35380.0,107996.0,314.04294697413,0.2123015873015873
34.21,1513.0,36220.0,107017.0,316.2984378255722,0.0
35.22,1833.0,36220.0,106697.0,315.38351202861713,0.0
36.22,982.0,37281.0,106487.0,161.27993888311198,0.0
37.23,3134.0,37035.0,104581.0,604.4223621594683,0.0
38.23,5397.0,36911.0,102442.0,500.15451389122376,0.0
39.24,3859.0,39288.0,101603.0,559.6444903691956,0.0
40.24,700.0,43285.0,100765.0,287.97952117243807,0.0
41.25,694.0,43465.0,100591.0,161.53380287214128,0.0
42.25,1372.0,43379.0,99999.0,316.43283993817386,0.0
43.26,2319.0,43342.0,99089.0,316.09822637065713,0.1002906976744186
44.26,3091.0,43930.0,97729.0,202.27351030427926,0.0
45.27,5357.0,43753.0,95640.0,751.8411151003618,0.0
46.27,3909.0,46197.0,94644.0,606.727650254174,0.13053097345132744
47.28,2758.0,49684.0,92308.0,504.73490224782853,0.19631901840490798
48.28,3055.0,49841.0,91854.0,464.1963875684624,0.0
49.29,2601.0,52250.0,89899.0,616.8512979696418,0.2077922077922078
50.29,2901.0,52395.0,89454.0,464.34107065050887,0.0
51.3,2538.0,53631.0,88581.0,468.06078232696933,0.0
52.3,3018.0,53631.0,88101.0,464.10908141409885,0.0
53.3,7024.0,53376.0,84350.0,303.61729224824006,0.09991235758106924
54.31,9028.0,53184.0,82538.0,811.2440519786412,0.0
55.31,9695.0,54769.0,80286.0,1345.7396133711995,0.0
56.32,5730.0,60991.0,78029.0,1047.285724714325,0.0
57.32,2991.0,65345.0,76414.0,771.3903625889486,0.0
58.33,3791.0,65345.0,75614.0,765.8978175891956,0.0
59.33,4591.0,65345.0,74814.0,760.1132170401465,0.0
60.34,5141.0,66328.0,73281.0,831.1796448602222,0.0
61.35,5296.0,67239.0,72215.0,774.9392003441648,0.0
62.35,3814.0,69986.0,70950.0,772.1156237220201,0.0
63.35,1478.0,72970.0,70302.0,160.13126472165104,0.0
64.36,1170.0,74534.0,69046.0,160.70258398402729,0.0
65.36,2003.0,74367.0,68380.0,400.00522903444926,0.0
66.37,1658.0,75591.0,67501.0,628.5831473813982,0.0
67.37,1337.0,76501.0,66912.0,468.42582597639955,0.0
68.38,1851.0,76842.0,66057.0,316.57024003014044,0.12310606060606061
69.38,1397.0,78404.0,64949.0,436.30038765425,0.19294990723562153
70.39,1790.0,78404.0,64556.0,472.07356199590646,0.0
71.39,0.0,80490.0,64260.0,0.0,0.0
72.4,0.0,80490.0,64260.0,0.0,0.0
73.4,1200.0,80312.0,63238.0,248.8028576832979,0.0
74.45,1026.0,81126.0,62598.0,265.43139598845335,0.0
75.45,2856.0,81399.0,60495.0,373.6994398233654,0.0
76.46,2235.0,82917.0,59598.0,588.6048190396303,0.0
77.46,3652.0,84293.0,56805.0,752.5978590806642,0.22745098039215686
78.47,4452.0,84293.0,56005.0,760.8433781465822,0.0
79.47,3738.0,86399.0,54613.0,765.4814147667664,0.0
80.48,3997.0,87385.0,53368.0,566.8002626705769,0.0
81.48,3922.0,89517.0,51311.0,444.4126192924177,0.14096916299559473
82.49,3248.0,90733.0,50769.0,463.2123989099269,0.0
83.49,2759.0,92803.0,49188.0,508.3585885775789,0.0
84.5,3657.0,92765.0,48328.0,765.9506738498911,0.0
85.5,2533.0,94981.0,47236.0,621.4658933993991,0.0
86.51,2635.0,95392.0,46723.0,467.3183519723255,0.0
87.51,4005.0,95906.0,44839.0,329.3206092777807,0.0
88.52,4770.0,95879.0,44101.0,608.0941096204895,0.45925925925925926
89.52,3572.0,98164.0,43014.0,613.8725222269712,0.0
90.53,1131.0,101389.0,42230.0,498.9236560155684,0.20496894409937888
91.53,826.0,101883.0,42041.0,160.48378800847092,0.0
92.54,1419.0,101763.0,41568.0,316.2225971188312,0.0
93.54,2630.0,101555.0,40565.0,256.8800954938276,0.0
94.55,2910.0,102158.0,39682.0,303.95688439803394,0.0
95.55,3465.0,103057.0,38228.0,426.09187526863275,0.3064798598949212
96.56,2083.0,105432.0,37235.0,471.01372138399597,0.0
97.56,3074.0,106265.0,35411.0,508.45851763306916,0.0
98.57,3714.0,106265.0,34771.0,613.656763277449,0.0
99.57,3223.0,107630.0,33897.0,508.54594346363604,0.0
100.58,4023.0,107566.0,33161.0,658.5703261041311,0.0
101.58,5085.0,108238.0,31427.0,633.0114767081903,0.1912568306010929
102.59,5285.0,108859.0,30606.0,892.5397581839673,0.0
103.59,2360.0,112717.0,29673.0,502.2673250419825,0.0
104.6,225.0,115229.0,29296.0,143.96593662331358,0.0
105.6,933.0,115283.0,28534.0,161.33547764904912,0.0
106.61,1093.0,115283.0,28374.0,160.75814635041766,0.0
107.61,2304.0,116119.0,26327.0,252.92151408598667,0.0
108.62,2784.0,116119.0,25847.0,465.03990978378624,0.0
109.62,1940.0,118229.0,24581.0,387.1188600098023,0.0
110.62,2674.0,118132.0,23944.0,619.6055159107643,0.0
111.63,3758.0,118007.0,22985.0,765.8701017643984,0.0
112.63,5125.0,119257.0,20368.0,643.7858014113422,0.08610709117221418
113.64,6045.0,119806.0,18899.0,730.429912564242,0.0
114.64,5018.0,122212.0,17520.0,817.9325391655193,0.5100671140939598
115.65,3513.0,125149.0,16088.0,1025.4515873129428,0.0
116.65,3030.0,127070.0,14650.0,657.88691566156,0.16607142857142856
117.66,3303.0,127754.0,13693.0,615.8952897007194,0.0
118.66,3085.0,128610.0,13055.0,608.4733030167893,0.0
119.67,5386.0,128376.0,10988.0,602.5530782275346,0.0
