relative_time_s,kv_used,kv_evictable,kv_available,gen_throughput,global_hit_rate
0.05,7.0,0.0,133754.0,0.0,0.0
1.06,0.0,1546.0,132215.0,0.0,0.0
2.07,0.0,1546.0,132215.0,0.0,0.0
3.07,0.0,1546.0,132215.0,0.0,0.0
4.54,1335.0,1543.0,130883.0,473.7302764320719,0.0
5.55,3616.0,2014.0,128131.0,922.1462540631951,0.09829059829059829
6.55,5552.0,2426.0,125783.0,834.3384311637399,0.0
7.56,4145.0,5546.0,124070.0,738.6598627523637,0.0
8.56,2941.0,8044.0,122776.0,617.8111971765455,0.0
9.57,4388.0,9665.0,119708.0,741.192379270163,0.0
10.57,5498.0,11252.0,117011.0,1196.6123500516105,0.0
11.58,8921.0,11252.0,113588.0,534.5155511800709,0.0
12.58,4068.0,17976.0,111717.0,558.6508656081234,0.0
13.59,4428.0,17976.0,111357.0,457.7549146999863,0.0
14.59,3773.0,21277.0,108711.0,612.5687170969715,0.0
15.6,7129.0,22376.0,104256.0,324.7943587544608,0.12166666666666667
16.66,8810.0,22376.0,102575.0,901.3191297091366,0.0
17.66,11159.0,25546.0,97056.0,1388.0010886923756,0.0
18.67,8345.0,30164.0,95252.0,853.7742096229505,0.0
19.68,7242.0,34302.0,92217.0,877.3312207197536,0.0
20.68,7906.0,35936.0,89919.0,1023.1515517513627,0.0
21.69,6676.0,39863.0,87222.0,659.0274449419603,0.0
22.69,6460.0,43512.0,83789.0,672.7586582777236,0.0
23.7,7740.0,43512.0,82509.0,1172.25512862412,0.0
24.7,8034.0,44857.0,80870.0,1169.4198507020367,0.0
25.71,9554.0,45797.0,78410.0,905.0652622753197,0.0
26.71,8002.0,49973.0,75786.0,725.1332722543882,0.0
27.72,8199.0,52113.0,73449.0,852.4615131026648,0.1317365269461078
28.72,8686.0,53196.0,71879.0,1162.1282170255836,0.0
29.73,9567.0,54251.0,69943.0,1152.287932325538,0.08899876390605686
30.73,6209.0,59196.0,68356.0,983.6652059413558,0.0
31.74,5185.0,62220.0,66356.0,657.1690406348054,0.1362862010221465
32.74,5436.0,62804.0,65521.0,749.0484089011968,0.0
33.75,6036.0,62804.0,64921.0,747.1364529191992,0.0
34.75,4189.0,66899.0,62673.0,858.7205277494514,0.073512252042007
35.76,4170.0,68428.0,61163.0,1169.7407244704839,0.0
36.76,4022.0,70006.0,59733.0,762.0242356935096,0.0
37.81,3811.0,71003.0,58947.0,520.7426058886354,0.0
38.81,4312.0,71660.0,57789.0,759.801821498542,0.0
39.82,1623.0,75484.0,56654.0,576.2334492616952,0.0
40.82,3829.0,76362.0,53570.0,350.1514588195718,0.0
41.83,4300.0,76941.0,52520.0,911.8170486506807,0.0
42.83,3823.0,79365.0,50573.0,916.2333366551692,0.0
43.84,1695.0,81970.0,50096.0,365.78269784380774,0.0
44.84,2367.0,83675.0,47719.0,228.7605993990552,0.0
45.85,7397.0,83537.0,42827.0,381.7653218729227,0.14345114345114346
46.85,8666.0,83537.0,41558.0,1278.4821360058654,0.0
47.86,8465.0,86521.0,38775.0,1105.4246357543161,0.0
48.87,5176.0,91835.0,36750.0,1048.4331363350277,0.0
49.87,4553.0,93988.0,35220.0,696.3175425022034,0.0
50.88,6189.0,94703.0,32869.0,1041.7433789749648,0.0
51.89,6643.0,97033.0,30085.0,678.5340404368443,0.0
52.89,6309.0,99465.0,27987.0,532.7868557957578,0.0
53.9,6081.0,101250.0,26430.0,635.328240793728,0.0
54.9,6486.0,102563.0,24712.0,887.4920520011848,0.08139534883720931
55.91,8210.0,102493.0,23058.0,637.0453149975691,0.0
56.91,8437.0,103725.0,21599.0,1014.8839104733287,0.0
57.92,8789.0,105572.0,19400.0,1066.3955446280288,0.0
58.92,8535.0,108503.0,16723.0,1014.0306642570612,0.06646525679758308
59.93,8309.0,111204.0,14248.0,713.2428410681986,0.08930817610062892
60.94,5408.0,115883.0,12470.0,821.4625239390133,0.08229426433915212
61.94,5437.0,117343.0,10981.0,747.6769313249135,0.08957055214723926
62.95,6227.0,117343.0,10191.0,745.2658653437061,0.0
63.95,7504.0,117270.0,8987.0,688.4246318371108,0.0
64.96,5699.0,122152.0,5910.0,956.3468989595704,0.0
65.96,5751.0,123548.0,4462.0,898.0296869453935,0.0
66.97,3739.0,127732.0,2290.0,595.0322539448724,0.0
67.97,4619.0,127652.0,1490.0,732.9732038086081,0.0
68.98,6441.0,127248.0,72.0,1087.1347548188287,0.0
69.99,7983.0,125721.0,57.0,1235.6917868056382,0.0
70.99,10520.0,122752.0,489.0,984.1588512331373,0.9968652037617555
72.0,10489.0,123014.0,258.0,1190.2793240117994,0.0
73.0,5980.0,127476.0,305.0,804.1541206532185,0.1875
74.01,4099.0,129336.0,326.0,457.53885745964317,0.0
75.01,3412.0,130201.0,148.0,666.349244438968,0.0
76.02,4390.0,128995.0,376.0,457.32535522163704,0.18867924528301888
77.02,5731.0,127536.0,494.0,572.7346711881002,0.0
78.03,5876.0,126676.0,1209.0,784.0338267421671,0.0
79.04,5090.0,128612.0,59.0,621.3662266227616,0.0
80.04,4658.0,128955.0,148.0,825.0277106183095,0.0
81.05,5002.0,128406.0,353.0,839.5610963497087,0.0
82.05,5801.0,127424.0,536.0,748.4188109011532,0.0
