relative_time_s,kv_used,kv_evictable,kv_available,gen_throughput,global_hit_rate
0.05,7.0,0.0,129775.0,0.0,0.0
1.06,0.0,1546.0,128236.0,0.0,0.0
2.07,0.0,1546.0,128236.0,0.0,0.0
3.07,0.0,1546.0,128236.0,0.0,0.0
4.1,0.0,1546.0,128236.0,0.0,0.0
5.1,2239.0,1543.0,126000.0,623.6579368438636,0.0
6.11,5278.0,1543.0,122961.0,1198.4086032547757,0.0
7.12,3481.0,4425.0,121876.0,790.3981667035264,0.0
8.12,1969.0,7817.0,119996.0,470.8940154012393,0.14375
9.13,2613.0,8295.0,118874.0,771.4825308998995,0.0
10.13,4228.0,9343.0,116211.0,624.2625380710801,0.0
11.14,4595.0,11484.0,113703.0,1197.8398351045998,0.0
12.14,5468.0,12876.0,111438.0,1171.3656328558752,0.08258928571428571
13.15,7352.0,14387.0,108043.0,801.3927973685749,0.0
14.15,6580.0,17959.0,105243.0,999.2615604575207,0.0
15.16,4795.0,21429.0,103558.0,990.8776331541487,0.0
16.19,2869.0,25482.0,101431.0,368.5412779587241,0.0
17.19,4838.0,26591.0,98353.0,637.7442827827286,0.0
18.2,7153.0,26591.0,96038.0,1030.2616093269185,0.0
19.2,9490.0,26531.0,93761.0,934.0150422198751,0.0
20.21,9984.0,30683.0,89115.0,773.77965756664,0.0
21.21,11040.0,32428.0,86314.0,1386.0917221037212,0.0
22.22,12127.0,34651.0,83004.0,884.8768750133713,0.10760401721664276
23.22,12389.0,36408.0,80985.0,1506.6373590533701,0.0
24.23,11387.0,39874.0,78521.0,1381.7526402629314,0.0
25.23,11671.0,42269.0,75842.0,1374.129049097641,0.0
26.24,11510.0,45748.0,72524.0,1372.089967405653,0.051639344262295085
27.25,11352.0,48506.0,69924.0,794.9412146158242,0.0
28.25,12552.0,48506.0,68724.0,1367.7449388732862,0.0
29.26,11215.0,53020.0,65547.0,933.1242531668015,0.09333333333333334
30.26,12268.0,53227.0,64287.0,1234.7947799524898,0.0
31.27,11117.0,56192.0,62473.0,818.5315469057232,0.0
32.27,10819.0,57862.0,61101.0,1068.3038627648302,0.0
33.28,10825.0,59847.0,59110.0,996.3235447705499,0.0
34.35,10605.0,61876.0,57301.0,1116.6897835993802,0.0
35.35,6510.0,68018.0,55254.0,954.5350246406072,0.0
36.36,5921.0,69257.0,54604.0,642.0206486073215,0.0
37.39,2480.0,73784.0,53518.0,286.94395306260014,0.0
38.4,4130.0,73949.0,51703.0,517.357415373875,0.0
39.4,4881.0,75868.0,49033.0,1182.1513076917554,0.3315508021390374
40.41,4576.0,77448.0,47758.0,761.9102505603206,0.11932773109243698
41.41,1139.0,81609.0,47034.0,316.61662461725854,0.0
42.42,689.0,82491.0,46602.0,425.87437292829026,0.0
43.42,2265.0,83218.0,44299.0,0.0,0.0633445945945946
44.43,3916.0,83154.0,42712.0,611.9716612003061,0.0
45.44,4754.0,83154.0,41874.0,756.6444887106417,0.0
46.44,6016.0,86606.0,37160.0,340.24679495162707,0.0
47.45,6918.0,88046.0,34818.0,1705.2484490679235,0.0
48.45,8238.0,88046.0,33498.0,1560.3894236939416,0.0
49.46,3950.0,95220.0,30612.0,809.4810525287669,0.0
50.46,5137.0,95639.0,29006.0,751.6145234257052,0.0
51.47,5287.0,98753.0,25742.0,505.84176560034064,0.0832420591456736
52.47,7444.0,99801.0,22537.0,1025.4693778442786,0.0
53.48,7617.0,101106.0,21059.0,785.9916965118097,0.0
54.48,5233.0,104640.0,19909.0,610.3289382844908,0.0
55.49,5202.0,106073.0,18507.0,607.9142725373323,0.093711467324291
56.49,6443.0,106073.0,17266.0,891.610251791649,0.0
57.5,8538.0,106073.0,15171.0,625.1039571405934,0.0
58.5,10419.0,107038.0,12325.0,847.1363480497653,0.0
59.51,8596.0,110786.0,10400.0,1075.0592808418753,0.0
60.51,8728.0,114350.0,6704.0,1160.7284265895319,0.0
61.52,9272.0,116223.0,4287.0,853.2897978269555,0.0
62.53,8053.0,119453.0,2276.0,757.1332515519188,0.0
63.53,8283.0,120814.0,685.0,757.7632199140586,0.0
64.54,7893.0,121630.0,259.0,1023.402540638305,0.0
65.54,8117.0,121495.0,170.0,820.1664984443714,0.0
66.55,9202.0,119943.0,637.0,748.4234901798163,0.10147058823529412
67.55,9606.0,120172.0,4.0,1150.177430683367,0.0
68.56,7677.0,122060.0,45.0,1165.1607922249511,0.3163265306122449
