relative_time_s,kv_used,kv_evictable,kv_available,gen_throughput,global_hit_rate
0.05,7.0,0.0,128644.0,0.0,0.0
1.06,0.0,1543.0,127108.0,0.0,0.0
2.06,0.0,1543.0,127108.0,0.0,0.0
3.07,183.0,1540.0,126928.0,0.0,0.016483516483516484
4.07,1471.0,1540.0,125640.0,473.5115582440575,0.436241610738255
5.08,2624.0,1540.0,124487.0,610.3270212740567,0.0
6.09,1286.0,3686.0,123679.0,148.73772436852568,0.0
7.09,1190.0,4519.0,122942.0,393.48468685106434,0.0
8.1,1193.0,5336.0,122122.0,376.96249916539375,0.0
9.1,755.0,5998.0,121898.0,161.23310563288152,0.0
10.11,471.0,6709.0,121471.0,161.39346732373244,0.0
11.11,4033.0,6604.0,118014.0,308.7983635634869,0.0
12.12,4326.0,7212.0,117113.0,634.4565535614975,0.0
13.12,3268.0,9955.0,115428.0,476.3634222205041,0.0
14.13,3373.0,12032.0,113246.0,550.5267085185802,0.0
15.13,5814.0,11971.0,110866.0,503.60810334032914,0.0
16.14,5362.0,13971.0,109318.0,856.5671435052244,0.36627906976744184
17.14,6789.0,14853.0,107009.0,799.5704759824845,0.0
18.15,6243.0,18356.0,104052.0,1207.8917530137726,0.0
19.15,6989.0,18895.0,102767.0,1179.0063143904363,0.0
20.16,6472.0,21488.0,100691.0,1184.7313584792782,0.0
21.16,6959.0,22133.0,99559.0,1171.092535210787,0.4460431654676259
22.17,6304.0,24001.0,98346.0,893.0921410500814,0.0
23.17,6318.0,25068.0,97265.0,813.1962510494772,0.0
24.18,2642.0,29567.0,96442.0,506.5437678284618,0.0
25.18,1282.0,31381.0,95988.0,273.2158939765204,0.0
26.19,1442.0,31381.0,95828.0,159.84673958527853,0.0
27.2,1449.0,32884.0,94318.0,394.9025941137022,0.0
28.2,2210.0,33108.0,93333.0,525.3167527867711,0.0
29.21,1697.0,35027.0,91927.0,394.3883367004427,0.10757575757575757
30.21,1567.0,35677.0,91407.0,597.616727926077,0.0
31.22,2484.0,36673.0,89494.0,334.94264616414955,0.0
32.22,3678.0,37553.0,87420.0,469.51471291828403,0.05493786788750817
33.23,5473.0,37552.0,85626.0,873.0309382839139,0.0
34.23,5077.0,40078.0,83496.0,749.373619199716,0.12233285917496443
35.24,4558.0,43396.0,80697.0,888.2256409330894,0.0
36.24,6199.0,43336.0,79116.0,1028.147940311001,0.0
37.25,5288.0,45926.0,77437.0,863.1882831319462,0.0
38.25,4731.0,48017.0,75903.0,905.5365272987475,0.0
39.26,7391.0,47946.0,73314.0,1171.4390808063367,0.0
