relative_time_s,kv_used,kv_evictable,kv_available,gen_throughput,global_hit_rate
0.05,7.0,0.0,128325.0,0.0,0.0
1.06,1718.0,98.0,126516.0,1364.559984669969,0.0
2.07,0.0,2076.0,126256.0,0.0,0.0
3.07,0.0,2076.0,126256.0,0.0,0.0
4.08,1362.0,2008.0,124962.0,301.18230482769354,0.0
5.08,2541.0,2008.0,123783.0,923.3858844426209,0.0
6.25,3669.0,3879.0,120784.0,1426.5317088257902,0.0
7.25,4592.0,5494.0,118246.0,773.9585636809461,0.0
8.26,3716.0,8688.0,115928.0,1534.5702755224065,0.0
9.26,3676.0,9536.0,115120.0,913.8145619413352,0.0
10.27,1316.0,13514.0,113502.0,315.1007542341814,0.0
11.28,3755.0,13514.0,111063.0,328.49218253071405,0.07009021512838307
12.28,6531.0,14477.0,107324.0,1107.085630918702,0.06784260515603799
13.29,10273.0,15128.0,102931.0,954.6309003704938,0.04830917874396135
14.29,12285.0,16276.0,99771.0,1009.0387605975698,0.07516339869281045
15.3,11375.0,21439.0,95518.0,812.0708864943913,0.06403940886699508
16.3,10958.0,24569.0,92805.0,1150.6375977795437,0.031685678073510776
17.31,9076.0,29324.0,89932.0,1288.0141722665062,0.0
18.32,8908.0,32852.0,86572.0,708.4557223479873,0.0
19.32,9677.0,34204.0,84451.0,1381.77044893458,0.0
20.33,10608.0,35385.0,82339.0,1085.3894692559238,0.0
21.33,9224.0,40523.0,78585.0,1138.3747878504623,0.0
22.34,8794.0,44092.0,75446.0,1405.6465433098997,0.05184331797235023
23.34,9553.0,45463.0,73316.0,1399.4567749630532,0.0
24.35,10753.0,45463.0,72116.0,1388.9384903902799,0.0
25.49,11321.0,46431.0,70580.0,1244.4424883653046,0.0
26.5,9997.0,50677.0,67658.0,890.5610271053329,0.0
27.5,9415.0,52400.0,66517.0,1135.924324892113,0.36792452830188677
28.51,7444.0,55753.0,65135.0,804.5697887248226,0.0
29.52,5917.0,59527.0,62888.0,935.9019787076115,0.0
30.52,3876.0,62588.0,61868.0,748.3457148059784,0.30303030303030304
31.53,3547.0,63570.0,61215.0,459.37172173682126,0.0
32.53,4937.0,63933.0,59462.0,593.8752469903178,0.1358974358974359
33.54,6519.0,63918.0,57895.0,1099.0855418794845,0.0
34.54,4090.0,67627.0,56615.0,1042.2561537501472,0.0
35.55,3743.0,69680.0,54909.0,556.3959243226168,0.0
36.55,2334.0,72294.0,53704.0,704.9632316815326,0.0
37.56,3687.0,73056.0,51589.0,441.10571247913697,0.0
38.56,2652.0,75135.0,50545.0,757.4205466421582,0.0
39.57,2273.0,77640.0,48419.0,803.7633930915397,0.0
40.61,2405.0,78376.0,47551.0,462.2819380152298,0.0
41.61,1530.0,80283.0,46519.0,407.1370497427819,0.0
42.62,2796.0,80812.0,44724.0,697.492781716378,0.0
43.62,4985.0,81775.0,41572.0,370.81080129580386,0.0
44.64,7049.0,82402.0,38881.0,887.9123595871854,0.049132947976878616
45.65,10599.0,83969.0,33764.0,423.4420186272854,0.0
46.65,8592.0,87834.0,31906.0,1152.4183840275523,0.0
47.66,10069.0,89099.0,29164.0,1252.871695031434,0.0
48.66,6715.0,95553.0,26064.0,1032.659741554654,0.0
49.67,8868.0,96394.0,23070.0,1158.918297675736,0.0
50.67,10088.0,97688.0,20556.0,1157.8938375697749,0.06057692307692308
51.68,10304.0,99422.0,18606.0,942.897105935776,0.0
52.68,10793.0,100658.0,16881.0,1249.5360099669547,0.0
53.69,10478.0,101974.0,15880.0,1138.8069717946526,0.0
54.69,11703.0,105084.0,11545.0,601.7626046789356,0.07309941520467836
55.7,12224.0,106236.0,9872.0,1079.073535333961,0.0
56.71,12266.0,109840.0,6226.0,1362.1889218110782,0.03440187646598905
57.71,12087.0,112176.0,4069.0,824.5914997535865,0.0
58.72,12673.0,113902.0,1757.0,1364.3397040094035,0.0
59.72,13264.0,115035.0,33.0,1357.7115971970181,0.0
60.73,13441.0,114562.0,329.0,1357.849717334852,0.0
61.73,12649.0,115402.0,281.0,1159.3193430576616,0.0
62.74,11878.0,116345.0,109.0,1046.4230550138136,0.0
63.75,12838.0,115332.0,162.0,1118.459487029248,0.0
64.75,9101.0,118961.0,270.0,663.3153999973944,0.0
65.76,6758.0,121507.0,67.0,468.49560460600196,0.0
66.76,3495.0,124722.0,115.0,543.1224007340642,0.23809523809523808
67.77,4423.0,123501.0,408.0,603.5958543979502,0.0
68.77,4107.0,124040.0,185.0,451.0673307414311,0.0
69.78,4143.0,123590.0,599.0,360.2232821787446,0.0746031746031746
70.78,5906.0,122100.0,326.0,955.7616144977633,0.0
71.79,5144.0,123080.0,108.0,1132.5396181295953,0.0
72.79,2507.0,125679.0,146.0,576.6491197978789,0.0
73.8,2935.0,125201.0,196.0,607.2257665019426,0.15112540192926044
74.8,3001.0,124725.0,606.0,429.26629908122845,0.0
75.81,2901.0,124596.0,835.0,319.1592195810349,0.3525641025641026
76.82,4577.0,123183.0,572.0,766.569928352572,0.03599153140437544
77.82,5903.0,122097.0,332.0,754.0847621587636,0.04274937133277452
78.83,4307.0,123856.0,169.0,349.51820745915023,0.0
79.83,3100.0,124510.0,722.0,614.008652694411,0.0
80.84,1843.0,126020.0,469.0,591.3122642619055,0.1634349030470914
81.84,2496.0,125489.0,347.0,364.3328471598833,0.0
82.85,3886.0,123769.0,677.0,803.1888902427884,0.0
83.89,3843.0,124156.0,333.0,608.8136846035933,0.0
84.9,3333.0,124257.0,742.0,489.76174447171377,0.0
85.91,4127.0,123704.0,501.0,615.2834147663215,0.05779569892473118
86.91,3740.0,124232.0,360.0,614.9901512402787,0.06273525721455459
87.92,4465.0,123516.0,351.0,757.0930362029749,0.0
88.92,6965.0,120702.0,665.0,885.5188991318598,0.0
89.93,7324.0,120817.0,191.0,879.1257642261952,0.0
90.93,5805.0,121878.0,649.0,549.2312118172598,0.0
91.94,8801.0,119079.0,452.0,1157.1356596557382,0.0
92.95,10690.0,116710.0,932.0,839.9083365650894,0.056043956043956046
93.95,10547.0,117127.0,658.0,1091.3257013254322,0.0
94.96,9985.0,117948.0,399.0,1392.7330642689687,0.0
95.96,10269.0,117160.0,903.0,835.8045181654295,0.0
96.97,11869.0,116188.0,275.0,1372.236183390976,0.0
97.97,11669.0,116435.0,228.0,1278.0628810663052,0.0
98.98,12869.0,115116.0,347.0,1358.631200259956,0.0
99.98,11611.0,116667.0,54.0,810.1957733757806,0.35714285714285715
100.99,12683.0,115631.0,18.0,1112.037287582904,0.0
101.99,9587.0,118067.0,678.0,753.5171787047465,0.05021834061135371
103.0,7137.0,121082.0,113.0,469.16273525348726,0.0
104.01,7940.0,120056.0,336.0,874.5450830558816,0.0
105.01,8900.0,119361.0,71.0,868.4719339455092,0.0
106.02,9620.0,118074.0,638.0,863.0471227901228,0.0
