relative_time_s,kv_used,kv_evictable,kv_available,gen_throughput,global_hit_rate
0.05,0.0,14.0,129518.0,0.0,0.0
1.06,1718.0,98.0,127716.0,1328.6709090108889,0.0
2.07,0.0,2048.0,127484.0,0.0,0.0
3.07,0.0,2048.0,127484.0,0.0,0.0
4.08,1074.0,2002.0,126456.0,631.2263252386824,0.0
5.08,3192.0,1980.0,124360.0,760.6364734599128,0.09
6.09,2232.0,3861.0,123439.0,623.0284022829837,0.0
7.09,2524.0,5576.0,121432.0,559.1703294420302,0.1605351170568562
8.1,2903.0,6422.0,120207.0,581.5012263434506,0.0
9.11,1510.0,8510.0,119512.0,725.974458662001,0.0
10.11,3144.0,9011.0,117377.0,617.5972549409751,0.03494176372712146
11.12,3926.0,10510.0,115096.0,915.1563190520004,0.0
12.12,5053.0,10836.0,113643.0,949.4171803741864,0.0
13.13,2770.0,15295.0,111467.0,230.94854104658458,0.10043668122270742
14.13,7299.0,15235.0,106998.0,246.13924342319882,0.12778904665314403
15.14,8377.0,16225.0,104930.0,1021.3158987119316,0.1048951048951049
16.14,9858.0,18551.0,101123.0,1272.2484806466034,0.07631055076310551
17.15,7721.0,24242.0,97569.0,1144.2339943256413,0.039781591263650544
18.15,8649.0,25079.0,95804.0,1276.2122564751094,0.03346720214190094
19.16,7189.0,30228.0,92115.0,1269.9641987936964,0.057034220532319393
20.16,7260.0,31763.0,90509.0,1178.3791161794795,0.0
21.17,8959.0,31758.0,88815.0,1167.4028424520086,0.0791476407914764
22.17,9318.0,32813.0,87401.0,1272.1942143586439,0.0
23.18,11210.0,34708.0,83614.0,1254.702966535072,0.05917159763313609
24.19,11964.0,35614.0,81954.0,1373.3676315388632,0.0
25.19,11332.0,39889.0,78311.0,1365.6019567809458,0.047619047619047616
26.2,11138.0,42960.0,75434.0,1376.4523266831786,0.05466666666666667
27.2,11693.0,44686.0,73153.0,897.9338168360213,0.0
28.21,11234.0,47597.0,70701.0,1292.6304207805701,0.0
29.21,10923.0,49135.0,69474.0,1153.778712057024,0.0
30.22,11764.0,49315.0,68453.0,1130.498560851845,0.0
31.22,13044.0,49315.0,67173.0,1115.9965409710333,0.0
32.23,12432.0,50985.0,66115.0,1107.0638816046453,0.36792452830188677
33.23,10980.0,56325.0,62227.0,889.9082284595977,0.0
34.24,9095.0,60520.0,59917.0,1071.4850019313046,0.0
35.24,7564.0,63444.0,58524.0,1091.3826223435449,0.31007751937984496
36.25,5645.0,66578.0,57309.0,826.2818303634758,0.0
37.26,5588.0,67456.0,56488.0,599.9764471735523,0.0
38.26,6382.0,68074.0,55076.0,744.0867002085282,0.0
39.27,6982.0,68074.0,54476.0,739.9107992385178,0.0
40.27,6782.0,71469.0,51281.0,920.1233514259079,0.30303030303030304
41.28,3300.0,76054.0,50178.0,1000.0281836322991,0.2532467532467532
42.29,1682.0,79688.0,48162.0,440.15808203475206,0.0
43.29,3871.0,79680.0,45981.0,374.95268332727574,0.0
44.3,2946.0,81588.0,44998.0,489.17368566185166,0.0
45.3,2358.0,84371.0,42803.0,368.9779691253163,0.0
46.32,2633.0,84937.0,41962.0,889.8373941817368,0.0
47.32,2898.0,86552.0,40082.0,858.4141767116431,0.06545961002785515
48.33,5008.0,86929.0,37595.0,682.7582218533619,0.06954102920723226
49.34,5014.0,87725.0,36793.0,751.1702415469521,0.0
50.37,5223.0,90109.0,34200.0,589.8108754743612,0.0
51.38,6818.0,93190.0,29524.0,365.3192755039059,0.0
52.38,9497.0,93132.0,26903.0,951.6782063534961,0.13544018058690746
53.39,10102.0,94584.0,24846.0,1457.1485061594585,0.0
54.39,7485.0,99231.0,22816.0,1123.2981779771865,0.0
55.4,6977.0,101170.0,21385.0,888.5202681576692,0.0
56.4,8025.0,102000.0,19507.0,1070.3981870189698,0.0
57.41,8448.0,103465.0,17619.0,1158.663846087333,0.04550379198266522
