relative_time_s,kv_used,kv_evictable,kv_available,gen_throughput,global_hit_rate
0.05,0.0,14.0,128404.0,0.0,0.0
1.06,1718.0,98.0,126602.0,1345.1684944223584,0.0
2.07,0.0,2048.0,126370.0,0.0,0.0
3.07,0.0,2048.0,126370.0,0.0,0.0
4.08,823.0,2002.0,125593.0,143.9860608927044,0.0
5.08,1685.0,1980.0,124753.0,625.5497042469603,0.0
6.1,1680.0,2549.0,124189.0,471.08579981089736,0.0
7.1,1755.0,4262.0,122401.0,369.1167574504468,0.0
8.11,2863.0,4262.0,121293.0,768.219237232984,0.0
9.12,674.0,6973.0,120771.0,184.93420029092113,0.0
10.12,0.0,7733.0,120685.0,0.0,0.0
11.13,1681.0,7651.0,119086.0,314.7642368649825,0.0
12.13,2555.0,7651.0,118212.0,306.0718376633711,0.0
13.14,4564.0,8698.0,115156.0,752.6597902635784,0.0
14.14,5501.0,9685.0,113232.0,1047.1652621150408,0.0
15.15,4788.0,13537.0,110093.0,757.5292604398202,0.0
16.15,5440.0,15191.0,107787.0,1196.9729750443441,0.0
17.16,4588.0,17624.0,106206.0,839.5813103704443,0.2907801418439716
18.17,5077.0,18993.0,104348.0,867.2363263379484,0.0
19.17,4965.0,20003.0,103450.0,977.256810564809,0.0
20.18,3726.0,23524.0,101168.0,874.9721115723257,0.31007751937984496
21.18,3996.0,23925.0,100497.0,610.0353910115572,0.0
22.19,3190.0,26215.0,99013.0,704.868741272863,0.0
23.19,2518.0,27847.0,98053.0,613.2368829252592,0.17358490566037735
24.2,2449.0,28665.0,97304.0,691.656782639825,0.0
25.2,2033.0,29834.0,96551.0,624.696904870288,0.0
26.21,1846.0,30929.0,95643.0,294.2255239816817,0.0
27.21,4061.0,30928.0,93429.0,640.2826299557219,0.0
28.22,4132.0,32136.0,92150.0,858.3508252262885,0.08576329331046312
29.23,1561.0,36175.0,90682.0,440.28403377810884,0.0
30.23,2862.0,36127.0,89429.0,616.7447391627029,0.0
31.24,2668.0,37653.0,88097.0,615.1809431711998,0.0951276102088167
32.24,2956.0,39345.0,86117.0,593.1042279611197,0.0
33.25,3556.0,39345.0,85517.0,763.6266950115785,0.0
34.25,4570.0,40615.0,83233.0,909.2237349701903,0.0
35.3,4416.0,41962.0,82040.0,851.1093576597111,0.0
36.31,8933.0,42120.0,77365.0,1159.362275535849,0.0
37.32,8685.0,44399.0,75334.0,1157.0481859627052,0.11353711790393013
38.32,4964.0,50389.0,73065.0,741.9286151238806,0.3
39.33,4550.0,51885.0,71983.0,980.1911725530367,0.0
40.33,5568.0,52499.0,70351.0,976.7152690219868,0.06725146198830409
41.34,3989.0,55294.0,69135.0,902.6937509905061,0.26666666666666666
42.34,2702.0,57783.0,67933.0,687.8769692763386,0.11304347826086956
43.35,3721.0,57966.0,66731.0,610.5593251169848,0.0
44.35,5072.0,57922.0,65424.0,752.5902717828739,0.0
45.36,2433.0,61713.0,64272.0,801.9683216435352,0.25396825396825395
46.36,2218.0,63252.0,62948.0,241.8010944313332,0.0
47.37,1750.0,64828.0,61840.0,546.9975851503397,0.0
