relative_time_s,kv_used,kv_evictable,kv_available,gen_throughput,global_hit_rate
0.04,0.0,14.0,129783.0,0.0,0.0
1.05,218.0,1470.0,128109.0,180.86341372255237,0.0
2.06,0.0,1765.0,128032.0,0.0,0.0
3.06,0.0,1765.0,128032.0,0.0,0.0
4.07,590.0,1734.0,127473.0,14.873224406583045,0.0
5.61,1425.0,1734.0,126638.0,472.8884966092783,0.0
6.64,3521.0,3188.0,123088.0,732.6622883317727,0.0
7.65,5163.0,3188.0,121446.0,1083.1534958105035,0.0
8.65,1994.0,7842.0,119961.0,481.8321401361501,0.0
9.92,1383.0,9273.0,119141.0,349.93246215089215,0.0
11.53,2121.0,10282.0,117394.0,717.5257558582614,0.0
13.06,2358.0,12673.0,114766.0,623.2602954838839,0.0
16.43,3479.0,15382.0,110936.0,462.1193028447274,0.0
18.18,5126.0,18010.0,106661.0,605.0103950984576,0.0
20.58,3345.0,21722.0,104730.0,308.2257100662615,0.0
23.55,0.0,30630.0,99167.0,0.0,0.0
36.96,0.0,35747.0,94050.0,0.0,0.0
45.93,0.0,48872.0,80925.0,0.0,0.0
47.82,9286.0,45198.0,75313.0,726.045733743727,0.0
49.76,6724.0,50454.0,72619.0,1008.7767372602792,0.0
50.76,7048.0,53797.0,68952.0,822.9026204007776,0.0
51.81,5365.0,56400.0,68032.0,451.66468925502693,0.0
52.81,6349.0,56389.0,67059.0,593.3140514928034,0.0
54.33,2634.0,60834.0,66329.0,311.17788296968325,0.0
55.54,4821.0,60824.0,64152.0,605.8874507715924,0.0
56.79,3764.0,64101.0,61932.0,764.2434253953598,0.0
57.79,4617.0,64782.0,60398.0,757.0436505199049,0.0
59.56,1907.0,67964.0,59926.0,159.31527124879523,0.0
60.57,4451.0,67827.0,57519.0,453.81296832551806,0.0
61.75,6182.0,67985.0,55630.0,989.9881640945935,0.0
63.27,3814.0,73168.0,52815.0,932.4149951402871,0.0
64.28,3963.0,76509.0,49325.0,748.7493554012898,0.0
65.54,4079.0,77484.0,48234.0,762.6417789211421,0.0
66.55,2904.0,81169.0,45724.0,463.8039278793104,0.09969088098918083
67.55,2616.0,81804.0,45377.0,309.9999040553747,0.0
69.53,681.0,84484.0,44632.0,76.03062925074363,0.0
70.65,4047.0,84144.0,41606.0,611.3815383263143,0.0
74.14,0.0,92448.0,37349.0,0.0,0.0
81.34,3119.0,91360.0,35318.0,156.45086824747113,0.0
82.5,9351.0,90577.0,29869.0,724.1507501249981,0.0
83.64,10932.0,90568.0,28297.0,856.5401465484547,0.0
95.17,0.0,105446.0,24351.0,0.0,0.0
97.36,1519.0,108528.0,19750.0,156.14870036065403,0.0
101.02,7595.0,107795.0,14407.0,733.8674469527143,0.0
102.76,3516.0,115786.0,10495.0,461.0441991053024,0.0
103.82,7677.0,115646.0,6474.0,980.4832200431631,0.0
104.82,9213.0,116083.0,4501.0,1013.3559701609886,0.0
107.34,5030.0,121946.0,2821.0,303.38128069643403,0.0
108.35,7853.0,120925.0,1019.0,586.9379691568345,0.0
110.3,2685.0,126831.0,281.0,158.02273359250086,0.0
111.39,4686.0,125037.0,74.0,456.1938245299942,0.0
112.39,5676.0,123696.0,425.0,533.4282357119164,0.0
113.5,5792.0,123745.0,260.0,913.3908107177759,0.0
114.51,6968.0,122540.0,289.0,622.3614685616902,0.23265306122448978
116.56,4174.0,125589.0,34.0,609.7404357804643,0.0
118.61,3400.0,126288.0,109.0,1010.5039891241083,0.0
119.77,4394.0,124941.0,462.0,659.3999978443304,0.0
121.87,2851.0,126870.0,76.0,720.860652650491,0.0
122.87,6091.0,122973.0,733.0,888.1742704485725,0.0
126.49,0.0,129792.0,5.0,0.0,0.0
128.09,3469.0,125925.0,403.0,155.33037742272208,0.0
129.67,6368.0,123389.0,40.0,447.7388321499327,0.0
131.26,3385.0,126208.0,204.0,307.31343396072157,0.0
135.63,0.0,129341.0,456.0,0.0,0.0
137.27,5708.0,123914.0,175.0,599.5075457669111,0.0
138.66,10379.0,119361.0,57.0,1255.0143356938213,0.0
144.69,4382.0,125306.0,109.0,535.6226600222025,0.0
147.08,984.0,128339.0,474.0,160.6270359048566,0.0
165.02,0.0,129795.0,2.0,0.0,0.0
167.13,7893.0,121869.0,35.0,1167.2061469112234,0.0
170.12,6732.0,123045.0,20.0,594.5042142870171,0.0
171.31,5440.0,123526.0,831.0,600.5547113679291,0.0
172.58,7390.0,122361.0,46.0,740.5941719621469,0.0
175.23,4022.0,125593.0,182.0,406.62944857599496,0.0
176.45,7164.0,122578.0,55.0,583.9323588221547,0.0
177.49,8572.0,120689.0,536.0,699.4419814725152,0.0
180.78,0.0,129688.0,109.0,0.0,0.0
182.84,2244.0,127353.0,200.0,311.83902551548374,0.0
186.15,2941.0,126370.0,486.0,308.7969360932792,0.0
