relative_time_s,kv_used,kv_evictable,kv_available,gen_throughput,global_hit_rate
0.04,7.0,0.0,127791.0,0.0,0.0
1.05,218.0,1470.0,126110.0,181.51224604346416,0.0
2.06,0.0,1765.0,126033.0,0.0,0.0
3.06,403.0,1734.0,125661.0,161.167013567563,0.0
4.07,2443.0,1679.0,123676.0,474.78703210074497,0.061313868613138686
5.14,3615.0,2217.0,121966.0,624.3749669267266,0.0
6.14,4960.0,3097.0,119741.0,1242.1046959053713,0.0
7.15,4472.0,5418.0,117908.0,894.7764416544253,0.27033792240300375
8.15,1701.0,8687.0,117410.0,313.08779665482,0.0
9.16,977.0,10498.0,116323.0,167.19527325255277,0.0
10.16,1893.0,10302.0,115603.0,463.95448309503854,0.0
11.17,6244.0,10015.0,111539.0,460.7666996222967,0.19325842696629214
12.18,6933.0,11696.0,109169.0,1095.3632142956308,0.35127478753541075
13.28,6073.0,14971.0,106754.0,1107.3420191016387,0.12360515021459227
14.29,5638.0,18287.0,103873.0,474.6311174985694,0.0
15.29,5878.0,19678.0,102242.0,605.7425934955082,0.1652892561983471
16.47,6691.0,21843.0,99264.0,551.0965147650272,0.0
17.47,9757.0,21529.0,96512.0,848.5602010618123,0.0
18.48,15346.0,21327.0,91125.0,605.4015790792146,0.0
19.48,16435.0,21327.0,90036.0,1192.7838999345213,0.0
20.49,18638.0,22188.0,86972.0,1063.7680229092182,0.0
21.5,21710.0,22041.0,84047.0,513.8814185910273,0.0
22.5,23136.0,24463.0,80199.0,662.4259783911352,0.15424164524421594
23.51,18349.0,31334.0,78115.0,882.3049099957304,0.0
24.51,15044.0,36763.0,75991.0,1091.5378137079472,0.0
25.52,15055.0,40025.0,72718.0,746.6662299755839,0.0
26.53,10678.0,47418.0,69702.0,1353.2725961107676,0.03292181069958848
27.53,9959.0,49496.0,68343.0,1205.200691714644,0.0
28.54,8107.0,54415.0,65276.0,893.3763329389988,0.0
29.54,5482.0,58390.0,63926.0,804.7448293914912,0.10335917312661498
30.55,3097.0,61617.0,63084.0,474.18045041133,0.0
31.55,3627.0,62137.0,62034.0,433.9544571694785,0.0
32.56,3815.0,62656.0,61327.0,458.23900849032293,0.0
33.56,3673.0,64465.0,59660.0,344.02046969875107,0.9924242424242424
34.57,2140.0,67009.0,58649.0,716.2431931062799,0.0
35.58,1921.0,68800.0,57077.0,230.78689484340183,0.14487632508833923
36.58,3156.0,69424.0,55218.0,688.5033652173779,0.16363636363636364
37.59,3298.0,70114.0,54386.0,888.4014704089711,0.0
38.59,1612.0,73582.0,52604.0,756.4543406441019,0.0
39.6,4017.0,73468.0,50313.0,518.5602215256082,0.2128755364806867
40.6,3838.0,75149.0,48811.0,587.6367339071887,0.0
41.61,5375.0,75740.0,46683.0,1118.3791082488929,0.28489483747609945
42.61,5813.0,77188.0,44797.0,996.1793436927207,0.0
43.62,4135.0,79841.0,43822.0,506.5667176742931,0.0
44.63,7200.0,80317.0,40281.0,458.85671503497537,0.18630573248407642
45.63,7935.0,80317.0,39546.0,730.5961587225659,0.0
46.64,10381.0,82283.0,35134.0,426.14879652018016,0.08783297336213103
47.64,11066.0,84222.0,32510.0,941.3654685847356,0.0926517571884984
48.65,10336.0,87354.0,30108.0,1144.8208786405723,0.0
49.65,10534.0,90822.0,26442.0,1008.2189250604368,0.26325757575757575
50.66,9554.0,94414.0,23830.0,656.1501030105338,0.0
51.67,11305.0,94414.0,22079.0,1134.6011969920285,0.0
52.67,17236.0,93046.0,17516.0,1204.928470725251,0.6906260351109639
53.68,20149.0,93524.0,14125.0,760.9253006376456,0.5171255876427132
54.68,21914.0,93541.0,12343.0,781.7324755118071,0.0
55.69,19248.0,99322.0,9228.0,774.7290750794424,0.0
56.69,20328.0,99322.0,8148.0,1151.4434456665213,0.0
57.7,20235.0,102134.0,5429.0,671.4197429452602,0.0
58.71,16329.0,107726.0,3743.0,851.5652383079654,0.0
59.71,17289.0,107726.0,2783.0,1073.6897860884278,0.0
60.72,14935.0,112295.0,568.0,648.6544956400263,0.0
61.72,9093.0,118702.0,3.0,721.1253955018461,0.0
62.73,7163.0,120286.0,349.0,558.7434504003004,0.0
63.73,8203.0,119050.0,545.0,877.1471117654685,0.1305732484076433
64.74,6409.0,121118.0,271.0,801.6817336828774,0.0
65.75,7009.0,120624.0,165.0,738.48749232329,0.0
66.75,7091.0,120512.0,195.0,591.2360409092606,0.0
67.76,6443.0,121333.0,22.0,594.6906258788694,0.0
68.76,6382.0,121178.0,238.0,800.1567388483751,0.15246636771300448
69.77,6885.0,120674.0,239.0,951.8788953417196,0.16041397153945666
70.78,4413.0,122269.0,1116.0,942.2965020603527,0.0
71.78,2066.0,125609.0,123.0,469.6901892896413,0.0
72.79,1573.0,125657.0,568.0,471.63899889493575,0.0
73.79,787.0,126789.0,222.0,288.0839103836481,0.0
74.8,2414.0,124770.0,614.0,470.64132917281006,0.1384083044982699
75.8,4626.0,122890.0,282.0,756.1490561077977,0.0
76.81,4208.0,122688.0,902.0,366.7090217404351,0.0
77.81,1992.0,125749.0,57.0,468.46124487960253,0.0
78.82,1664.0,124960.0,1174.0,517.958217481825,0.6060606060606061
79.83,3408.0,124264.0,126.0,562.9115587135994,0.0
80.83,4963.0,122379.0,456.0,706.888111414719,0.11476793248945148
81.84,7453.0,120261.0,84.0,521.1701974180295,0.2510460251046025
82.84,9402.0,118283.0,113.0,1152.486637939847,0.0
83.85,10919.0,116532.0,347.0,532.4724200166962,0.0
84.88,11695.0,116023.0,80.0,909.4587357768579,0.0
85.88,12239.0,114972.0,587.0,983.282781007087,0.0
86.89,14240.0,113459.0,99.0,967.0491339096006,0.0
87.89,11208.0,115759.0,831.0,814.9903883253942,0.09090909090909091
88.9,14662.0,113114.0,22.0,908.3251855647015,0.0
89.9,15032.0,112614.0,152.0,1240.6424041372172,0.0
90.91,15405.0,112004.0,389.0,789.0237007044046,0.0
91.92,9446.0,117936.0,416.0,697.1125329736384,0.06802721088435375
92.92,11364.0,115874.0,560.0,1001.0186294046268,0.5076507650765076
93.93,11532.0,115783.0,483.0,884.0198882391935,0.03810408921933085
94.93,10678.0,116967.0,153.0,1201.0857276573595,0.2222222222222222
95.94,7293.0,120288.0,217.0,621.2200331009526,0.0
96.95,11222.0,116346.0,230.0,709.9426074235226,0.0
97.95,10886.0,116457.0,455.0,729.8176113196549,0.0
98.96,6621.0,121040.0,137.0,508.1629520283263,0.0
99.96,4058.0,123315.0,425.0,774.7168718358629,0.0
100.97,5005.0,122517.0,276.0,957.0104874636856,0.1553956834532374
101.97,5295.0,122171.0,332.0,1044.8777298631505,0.0
102.98,4455.0,122944.0,399.0,457.9284350553541,0.0
103.99,2606.0,125152.0,40.0,416.0934193084218,0.0
104.99,2382.0,125148.0,268.0,573.4904742441577,0.0
106.0,3071.0,124528.0,199.0,745.2407891346325,0.0
107.0,4132.0,123507.0,159.0,377.0087620631967,0.0
108.02,7168.0,120155.0,475.0,302.42923099913844,0.15550978372811536
109.02,10929.0,116649.0,220.0,936.71442652772,0.15194054500412882
110.03,10577.0,116840.0,381.0,1389.009047812129,0.0
111.03,11470.0,116025.0,303.0,1575.7322654805907,0.29491525423728815
112.04,7165.0,120358.0,275.0,756.91428289191,0.6337719298245614
113.04,7897.0,119780.0,121.0,748.379074813982,0.0
114.07,9949.0,117583.0,266.0,463.3821069822912,0.0
115.07,9962.0,117643.0,193.0,861.5102711556489,0.0
116.08,11946.0,115585.0,267.0,991.1305847836134,0.3957894736842105
117.09,7328.0,118336.0,2134.0,676.4316735878429,0.45295794725588023
118.09,8366.0,119188.0,244.0,626.9282488774528,0.0
119.1,10261.0,117125.0,412.0,653.246968687327,0.0
120.1,12316.0,114664.0,818.0,677.5971817997281,0.0
121.11,12971.0,114047.0,780.0,973.8106460236321,0.0
122.11,13475.0,114154.0,169.0,972.2531182629045,0.0
123.12,13160.0,113677.0,961.0,837.1561706586898,0.11331058020477816
124.12,11966.0,115220.0,612.0,844.687927618663,0.0
125.13,14141.0,113516.0,141.0,828.9630888624306,0.0
126.13,12972.0,113879.0,947.0,476.08525734862116,0.0
127.14,11658.0,115524.0,616.0,848.6500193518617,0.0
128.15,10439.0,116137.0,1222.0,707.9805885480712,0.5656354515050167
129.15,10079.0,117226.0,493.0,716.1508986083713,0.0
130.16,7521.0,119976.0,301.0,734.3366614322523,0.0
131.16,8321.0,119219.0,258.0,727.917768293968,0.0
132.17,6857.0,120400.0,541.0,739.4382476544283,0.0
133.17,6213.0,121525.0,60.0,596.3050131307476,0.0
134.18,4536.0,122859.0,403.0,454.9226491799195,0.0
