relative_time_s,kv_used,kv_evictable,kv_available,gen_throughput,global_hit_rate
0.06,0.0,14.0,129306.0,0.0,0.0
1.07,218.0,1470.0,127632.0,181.31145549205732,0.0
2.08,0.0,1765.0,127555.0,0.0,0.0
3.08,784.0,1707.0,126829.0,156.40547682020153,0.07061503416856492
4.09,1356.0,1707.0,126257.0,348.27330339718344,0.0
5.09,2015.0,2283.0,125022.0,378.30504428576614,0.3660130718954248
6.13,2949.0,3453.0,122918.0,752.9418299085575,0.0
7.13,4740.0,4064.0,120516.0,977.9377785289312,0.0
8.14,3740.0,5809.0,119771.0,762.7162934899507,0.0
9.14,1392.0,9599.0,118329.0,566.6196265559364,0.0
10.15,3053.0,9452.0,116815.0,545.5466115505765,0.0
11.15,6141.0,9611.0,113568.0,543.5022490213039,0.0
12.16,5700.0,11887.0,111733.0,1086.6382133868235,0.0
13.16,10768.0,11766.0,106786.0,560.6261198091579,0.23467600700525393
14.17,11987.0,13295.0,104038.0,1128.343133373959,0.0
15.18,10258.0,17078.0,101984.0,1157.2978702578866,0.0
16.22,4016.0,24234.0,101070.0,431.2183587285558,0.0
17.22,7042.0,25160.0,97118.0,319.0568091138279,0.0
18.23,9518.0,24928.0,94874.0,867.8730504637957,0.0
19.24,9654.0,25871.0,93795.0,650.3461581667601,0.0
20.27,14853.0,24748.0,89719.0,1206.0100384658272,0.0
21.28,13441.0,29281.0,86598.0,1111.402995738894,0.42751677852348996
22.42,14972.0,31646.0,82702.0,488.91608784660104,0.0
23.43,20201.0,29787.0,79332.0,1220.738235647809,0.5697318007662835
24.43,21401.0,29787.0,78132.0,1271.5137948678357,0.0
25.44,18273.0,34740.0,76307.0,1070.1333245385456,0.0
26.45,17970.0,40200.0,71150.0,1011.9116985360115,0.05073649754500818
27.45,14977.0,45217.0,69126.0,1317.4873985700035,0.0
28.46,14630.0,46856.0,67834.0,1134.1871391100503,0.0
29.46,9294.0,54447.0,65579.0,969.6165580701322,0.07495429616087751
30.47,9417.0,55490.0,64413.0,1005.5960269689097,0.0
31.47,9221.0,57059.0,63040.0,679.4848127560664,0.0
32.48,7652.0,60960.0,60708.0,870.8394290124481,0.10218978102189781
33.48,6263.0,63476.0,59581.0,888.3938800072565,0.0
34.49,7347.0,63609.0,58364.0,589.0348713644042,0.0
35.49,4089.0,67860.0,57371.0,568.1963398769011,0.0
36.5,4724.0,68073.0,56523.0,452.3312519453573,0.08216432865731463
37.51,5293.0,70488.0,53539.0,1030.0238390196218,0.0
38.51,6598.0,70488.0,52234.0,964.5754846843863,0.0
39.52,1041.0,77104.0,51175.0,468.5452612268966,0.0
40.52,540.0,78188.0,50592.0,130.9473375315878,0.0
41.55,4395.0,77655.0,47270.0,497.08484435737427,0.35841313269493846
42.55,5081.0,78419.0,45820.0,1152.2990237030547,0.0
43.56,4000.0,81062.0,44258.0,992.4535949914272,0.0
44.56,3244.0,83929.0,42147.0,318.39051992008024,0.0
45.57,2829.0,85334.0,41157.0,324.7706016248993,0.0
46.58,4981.0,85155.0,39184.0,455.9352782545762,0.17326732673267325
47.58,4978.0,87445.0,36897.0,420.98011209410095,0.0
48.59,6130.0,87959.0,35231.0,867.8596596160579,0.0
49.6,7751.0,89282.0,32287.0,1041.724131339255,0.4977538185085355
50.6,9201.0,90998.0,29121.0,927.9854109378861,0.0
51.61,10636.0,91292.0,27392.0,715.0735261155068,0.0
52.61,11119.0,92924.0,25277.0,593.660898980851,0.0
53.62,17072.0,90919.0,21329.0,948.3444307579239,0.8
54.63,15892.0,93591.0,19837.0,1090.080234774038,0.0
55.64,15984.0,96428.0,16908.0,720.9554501300864,0.0
56.64,16642.0,99787.0,12891.0,615.9725160432314,0.0
57.65,17675.0,100226.0,11419.0,1181.6820803871158,0.0
58.66,16403.0,104798.0,8119.0,550.4310296352616,0.1988555078683834
59.67,15107.0,108021.0,6192.0,839.9780314139131,0.0
60.68,13825.0,110905.0,4590.0,1218.5081848229447,0.0
61.74,15618.0,111534.0,2168.0,746.2601687440871,0.29285714285714287
62.75,16115.0,112800.0,405.0,1109.3678541855265,0.0
63.75,12039.0,117141.0,140.0,612.383459733879,0.0
64.76,7300.0,121511.0,509.0,659.090615805398,0.07473309608540925
65.77,4633.0,124388.0,299.0,605.69706164058,0.0
66.77,4052.0,125039.0,229.0,534.6285084696221,0.23595505617977527
67.78,4256.0,124936.0,128.0,507.9420955705759,0.25949367088607594
68.78,4981.0,124022.0,317.0,754.5964194030956,0.0
69.79,2094.0,127037.0,189.0,466.2700797575891,0.2131979695431472
70.79,2768.0,126433.0,119.0,464.0144354270465,0.0
71.8,1554.0,127526.0,240.0,321.9659976520817,0.0
72.8,4545.0,124363.0,412.0,165.7089985857677,0.23993808049535603
73.81,6117.0,122624.0,579.0,737.2932793900765,0.1076923076923077
74.81,6393.0,122164.0,763.0,781.0943640730349,0.0
75.82,7344.0,121776.0,200.0,514.1076838886619,0.0
76.83,7262.0,121680.0,378.0,1287.2968885116454,0.0
77.83,6305.0,121441.0,1574.0,918.8285244511956,0.0
78.84,5676.0,123085.0,559.0,620.2012046492006,0.0
79.84,4467.0,124197.0,656.0,749.8774672109406,0.0
80.85,2501.0,126640.0,179.0,311.88206903170607,0.0
81.86,3738.0,125527.0,55.0,458.89653418138056,0.0
82.86,4218.0,124683.0,419.0,458.1743323648146,0.0
83.87,4666.0,123561.0,1093.0,301.1155695737636,0.18518518518518517
84.87,8007.0,120840.0,473.0,605.4925203726096,0.0
86.01,7794.0,121270.0,256.0,937.1405334945247,0.0
87.08,6759.0,122312.0,249.0,900.9110524862597,0.0
88.09,14752.0,114381.0,187.0,716.1724482217041,0.0
89.1,15712.0,113145.0,463.0,1088.9469125185265,0.0
90.91,7750.0,121515.0,55.0,668.054884715477,0.0
91.91,13043.0,115734.0,543.0,407.6390815686015,0.0
92.92,11605.0,116971.0,744.0,1190.126918666795,0.5067357512953368
94.0,10447.0,118416.0,457.0,921.9353756733415,0.0
95.0,10978.0,118285.0,57.0,719.8230361664871,0.0
96.01,9180.0,119970.0,170.0,1153.1573668564708,0.0
97.01,11109.0,117732.0,479.0,1132.915610121026,0.0
98.02,11007.0,118015.0,298.0,994.206520704352,0.0
