relative_time_s,kv_used,kv_evictable,kv_available,gen_throughput,global_hit_rate
0.05,7.0,0.0,130328.0,0.0,0.0
1.06,392.0,1484.0,128459.0,346.07966347325555,0.0
2.07,0.0,1952.0,128383.0,0.0,0.0
3.07,227.0,1850.0,128258.0,161.2135179904859,0.0
4.08,1540.0,1716.0,127079.0,161.46356973569226,0.12946428571428573
5.08,2685.0,2065.0,125585.0,395.90293086556704,0.0
6.09,4750.0,1862.0,123723.0,917.0931337622696,0.2
7.09,4436.0,3799.0,122100.0,1003.2283203326332,0.19224806201550387
8.1,3819.0,5782.0,120734.0,616.0734731999011,0.48314606741573035
9.1,3981.0,7928.0,118426.0,957.1013065760214,0.6875
10.11,5284.0,8663.0,116388.0,1314.9478589932764,0.0
11.11,3086.0,12330.0,114919.0,738.7304445261902,0.0
12.12,2383.0,15039.0,112913.0,465.6265406081237,0.0
13.12,2219.0,15536.0,112580.0,312.3011507817189,0.0
14.13,5604.0,16067.0,108664.0,300.99260109657746,0.19400352733686066
15.14,7450.0,17307.0,105578.0,748.0289082955603,0.05960684844641725
16.14,12001.0,17040.0,101294.0,1508.1636383594046,0.0
17.15,9327.0,21936.0,99072.0,846.4690851052309,0.0
18.15,6959.0,27558.0,95818.0,871.7776076412573,0.1111111111111111
19.16,7349.0,30143.0,92843.0,777.7065826214643,0.0
20.17,8699.0,30779.0,90857.0,1160.196957646183,0.0
21.17,10923.0,31954.0,87458.0,1048.3213671343433,0.0
22.18,11023.0,34214.0,85098.0,1385.9181876906805,0.0
23.18,12424.0,35503.0,82408.0,1502.3343373367607,0.0
24.19,11756.0,38089.0,80490.0,1376.9264246292469,0.0
25.19,11999.0,40273.0,78063.0,1367.514125540543,0.0
26.2,11966.0,42743.0,75626.0,1366.326544153265,0.0
27.2,10751.0,47303.0,72281.0,923.241711843611,0.19186046511627908
28.21,11066.0,49000.0,70269.0,1381.4763282169479,0.0
29.21,10811.0,50482.0,69042.0,1136.7123802058738,0.0
30.22,10863.0,51815.0,67657.0,1051.2844489265563,0.0
31.23,9326.0,55264.0,65745.0,655.9049525583711,0.0
32.23,9930.0,57201.0,63204.0,1143.4755957174154,0.0
33.24,9775.0,59074.0,61486.0,991.8774526547857,0.1702127659574468
34.24,7797.0,62241.0,60297.0,731.3263629279483,0.0
