relative_time_s,kv_used,kv_evictable,kv_available,gen_throughput,global_hit_rate
0.05,7.0,0.0,129266.0,0.0,0.0
1.06,392.0,1485.0,127396.0,348.74363559751185,0.0
2.07,0.0,1953.0,127320.0,0.0,0.0
3.07,0.0,1953.0,127320.0,0.0,0.0
4.08,0.0,1953.0,127320.0,0.0,0.0
5.1,2411.0,1693.0,125169.0,561.3891062237518,0.0
6.1,4564.0,1595.0,123114.0,856.5375720756772,0.0
7.11,6465.0,2067.0,120741.0,1650.8318872006544,0.0
8.12,3132.0,6886.0,119255.0,862.541644310499,0.0
9.12,959.0,9571.0,118743.0,294.4353566200841,0.0
10.13,2556.0,10222.0,116495.0,297.0486981588229,0.09395424836601307
11.13,4326.0,10003.0,114944.0,535.0551758002711,0.0
12.14,8564.0,10188.0,110521.0,683.9605887410564,0.09394205443371378
13.14,11526.0,11118.0,106629.0,1650.0619443554394,0.0
14.15,9683.0,14255.0,105335.0,1387.7659212330207,0.0
15.15,3007.0,24454.0,101812.0,396.35681427598564,0.09885931558935361
16.16,3491.0,24454.0,101328.0,612.7906912436038,0.0
17.16,4655.0,24374.0,100244.0,753.1758837977931,0.0
18.17,7783.0,26024.0,95466.0,886.9360473711432,0.11428571428571428
19.18,10304.0,26964.0,92005.0,1027.2254623491206,0.1460101867572156
20.18,11204.0,28908.0,89161.0,1512.4340243184784,0.0
21.19,9416.0,33974.0,85883.0,1476.093956706819,0.0
22.19,8121.0,37419.0,83733.0,1102.3025842092572,0.0
23.2,9983.0,39038.0,80252.0,653.380124748506,0.19186046511627908
24.2,9880.0,40615.0,78778.0,1388.46312349784,0.0
25.21,9961.0,43011.0,76301.0,757.3041290464207,0.0
26.21,9510.0,45298.0,74465.0,1143.9904737923896,0.0
27.22,7069.0,50685.0,71519.0,750.1310097123934,0.0
28.23,6767.0,52247.0,70259.0,1079.4620637806024,0.11307420494699646
29.23,6980.0,53661.0,68632.0,1033.269647881257,0.0
30.24,7370.0,54098.0,67805.0,982.394889739955,0.0
31.24,7391.0,55272.0,66610.0,898.6293103997803,0.0
32.25,8363.0,56691.0,64219.0,570.3602212835174,0.1746031746031746
33.25,9977.0,56691.0,62605.0,1258.8686773806173,0.0
34.26,5847.0,62604.0,60822.0,829.9446401997797,0.0
35.27,4526.0,65251.0,59496.0,403.608051805002,0.0
36.27,4244.0,66144.0,58885.0,698.2379681805076,0.0
37.28,2483.0,69789.0,57001.0,917.3666071093367,0.0
38.28,3528.0,70859.0,54886.0,619.127263505675,0.12678741658722592
39.29,3312.0,72118.0,53843.0,677.1257680625184,0.0
40.29,3163.0,73701.0,52409.0,464.1992670045792,0.0
41.3,2941.0,75737.0,50595.0,678.095645688872,0.0
42.3,3785.0,76275.0,49213.0,584.9693433752251,0.0
43.31,2688.0,77969.0,48616.0,455.1656539547132,0.0
44.31,1638.0,80517.0,47118.0,308.75281006812503,0.0
45.32,4367.0,80236.0,44670.0,468.98050391701327,0.2807017543859649
46.32,4242.0,81567.0,43464.0,719.8743773748241,0.0
47.33,7394.0,81469.0,40410.0,576.9039736228925,0.0
48.34,13701.0,80914.0,34658.0,553.7805301661366,0.19919246298788695
49.34,13128.0,83854.0,32291.0,1629.384311241189,0.0
50.35,12036.0,87798.0,29439.0,1224.4070691714967,0.0
51.35,7183.0,95196.0,26894.0,1057.3060617179922,0.0
52.36,7834.0,96092.0,25347.0,1023.1699428009867,0.0
53.36,8518.0,97639.0,23116.0,1144.3402773310024,0.2206896551724138
54.37,8762.0,99857.0,20654.0,944.4250279739975,0.0
55.37,8395.0,101459.0,19419.0,1018.4528340361221,0.0
56.38,7409.0,103384.0,18480.0,843.1321000383734,0.0
57.38,7297.0,106617.0,15359.0,742.0771282010733,0.10294117647058823
58.39,7371.0,108314.0,13588.0,882.9950603787556,0.0
59.4,10516.0,108073.0,10684.0,1014.7060440986666,0.10052562417871222
60.4,10859.0,110598.0,7816.0,728.3790734526418,0.0
61.41,12147.0,111577.0,5549.0,741.3082362696337,0.0
62.41,10737.0,114897.0,3639.0,1148.6903028346335,0.0
63.42,11020.0,116313.0,1940.0,1135.7442201818071,0.0
64.42,10964.0,117250.0,1059.0,993.1238974302331,0.0
65.45,7941.0,121332.0,0.0,795.1732888211993,0.0
66.45,4169.0,125076.0,28.0,630.2418119412985,0.0
