relative_time_s,kv_used,kv_evictable,kv_available,gen_throughput,global_hit_rate
0.05,7.0,0.0,129019.0,0.0,0.0
1.06,392.0,1485.0,127149.0,349.8764570325846,0.0
2.06,0.0,1952.0,127074.0,0.0,0.0
3.07,0.0,1952.0,127074.0,0.0,0.0
4.07,991.0,1792.0,126243.0,173.80472892094338,0.0
5.08,1816.0,1741.0,125469.0,459.0876152412498,0.0
6.08,4190.0,1388.0,123448.0,788.0275010629895,0.0
7.09,3847.0,3515.0,121664.0,1065.7756173494306,0.0
8.1,1325.0,6724.0,120977.0,320.07853731518526,0.0
9.1,1283.0,7968.0,119775.0,160.4358741082293,0.0
10.11,1443.0,7968.0,119615.0,159.30369946000795,0.0
11.11,1170.0,9327.0,118529.0,306.53177133249795,0.0
12.12,5620.0,8814.0,114592.0,202.8405198685737,0.0
13.12,6661.0,9382.0,112983.0,953.4718745739954,0.0
14.13,5419.0,14002.0,109605.0,1120.5115787364073,0.3064798598949212
15.13,6747.0,15378.0,106901.0,1189.8377946920266,0.21188118811881188
16.14,6442.0,17776.0,104808.0,1291.3630536100761,0.16455696202531644
17.14,6830.0,18971.0,103225.0,1300.5784152702252,0.0
18.15,6567.0,20791.0,101668.0,1182.7407185713628,0.0
19.15,7107.0,21557.0,100362.0,1033.480913424481,0.0
20.16,8446.0,21493.0,99087.0,1165.3126637848648,0.0
21.16,8876.0,22593.0,97557.0,1023.7280325215665,0.0
22.17,3225.0,29626.0,96175.0,688.2136988430332,0.0
23.17,1887.0,32014.0,95125.0,324.72104906755726,0.0
24.18,2364.0,31954.0,94708.0,380.2678510011308,0.0
25.18,1973.0,34278.0,92775.0,554.6728098372869,0.0
26.19,2490.0,34603.0,91933.0,605.8914102119269,0.0
27.19,1659.0,36581.0,90786.0,346.40405370130827,0.0
28.2,4184.0,36930.0,87912.0,586.1379295497784,0.1628242074927954
29.2,5558.0,36866.0,86602.0,1047.5547466409027,0.0
30.21,5362.0,39292.0,84372.0,1038.2254321644891,0.19262295081967212
